global_step,epoch,train/loss,train/accept_len,train/accept_rate
684,0,0.891,1.453,0.229
685,0,0.902,1.386,0.198
686,0,0.926,1.291,0.167
687,0,0.922,1.274,0.152
688,0,0.852,1.568,0.276
689,0,0.875,1.529,0.269
690,0,0.977,1.154,0.114
691,0,0.887,1.401,0.225
692,0,0.91,1.405,0.252
693,0,0.898,1.456,0.221
694,0,0.887,1.375,0.201
695,0,0.883,1.56,0.262
696,0,0.879,1.544,0.285
697,0,0.898,1.464,0.226
698,0,0.824,1.898,0.317
699,0,0.93,1.361,0.175
700,0,0.879,1.456,0.225
701,0,0.945,1.23,0.153
702,0,0.926,1.448,0.226
703,0,0.906,1.531,0.255
704,0,0.883,1.501,0.232
705,0,0.918,1.513,0.23
706,0,0.949,1.355,0.162
707,0,0.91,1.287,0.196
708,0,0.93,1.253,0.162
709,0,0.887,1.511,0.237
710,0,0.812,1.779,0.339
711,0,0.871,1.386,0.212
712,0,0.891,1.524,0.231
713,0,0.82,1.769,0.283
714,0,0.875,1.52,0.225
715,0,0.914,1.502,0.191
716,0,0.797,1.888,0.319
717,0,0.914,1.382,0.2
718,0,0.902,1.445,0.187
719,0,0.93,1.451,0.178
720,0,0.879,1.54,0.242
721,0,0.863,1.627,0.299
722,0,0.949,1.324,0.176
723,0,0.855,1.62,0.257
724,0,0.891,1.562,0.259
725,0,0.891,1.542,0.249
726,0,0.922,1.35,0.191
727,0,0.926,1.321,0.214
728,0,0.867,1.583,0.251
729,0,0.883,1.519,0.243
730,0,0.875,1.604,0.245
731,0,0.922,1.387,0.18
732,0,0.898,1.392,0.185
733,0,0.875,1.535,0.226
734,0,0.914,1.338,0.201
735,0,0.797,1.468,0.308
736,0,0.93,1.443,0.203
737,0,0.887,1.474,0.209
738,0,1.023,1.119,0.082
739,0,0.922,1.381,0.195
740,0,0.914,1.435,0.238
741,0,0.836,1.678,0.291
742,0,0.773,2.064,0.353
743,0,0.824,1.895,0.333
744,0,0.895,1.219,0.158
745,0,0.977,1.321,0.181
746,0,0.938,1.326,0.206
747,0,0.918,1.449,0.228
748,0,0.977,1.192,0.116
749,0,0.938,1.462,0.228
750,0,0.875,1.453,0.232
751,0,0.922,1.416,0.238
752,0,0.828,1.71,0.302
753,0,0.781,1.861,0.357
754,0,0.93,1.366,0.182
755,0,0.945,1.388,0.169
756,0,0.836,1.604,0.289
757,0,0.832,1.693,0.303
758,0,0.953,1.19,0.124
759,0,0.859,1.644,0.252
760,0,0.965,1.156,0.118
761,0,0.957,1.172,0.127
762,0,0.863,1.543,0.24
763,0,0.875,1.465,0.229
764,0,0.961,1.314,0.163
765,0,0.938,1.208,0.138
766,0,0.969,1.349,0.176
767,0,0.82,1.631,0.299
768,0,0.891,1.45,0.236
769,0,0.863,1.591,0.248
770,0,0.859,1.645,0.252
771,0,0.938,1.392,0.194
772,0,0.938,1.337,0.166
773,0,0.91,1.447,0.192
774,0,0.945,1.335,0.192
775,0,0.848,1.51,0.266
776,0,0.918,1.256,0.155
777,0,0.961,1.286,0.172
778,0,0.852,1.534,0.268
779,0,0.906,1.365,0.215
780,0,0.957,1.227,0.171
781,0,0.93,1.308,0.181
782,0,0.883,1.479,0.223
783,0,0.969,1.52,0.282
784,0,0.922,1.333,0.193
785,0,0.852,1.601,0.249
786,0,0.93,1.208,0.161
787,0,0.883,1.513,0.213
788,0,0.922,1.334,0.161
789,0,0.883,1.528,0.245
790,0,0.871,1.585,0.237
791,0,0.977,1.218,0.137
792,0,0.875,1.409,0.171
793,0,0.891,1.435,0.22
794,0,0.945,1.45,0.193
795,0,0.879,1.515,0.233
796,0,0.859,1.641,0.274
797,0,0.977,1.367,0.185
798,0,0.953,1.257,0.144
799,0,0.875,1.45,0.254
800,0,0.852,1.674,0.283
801,0,0.836,1.736,0.304
802,0,0.836,1.695,0.316
803,0,0.945,1.294,0.169
804,0,0.82,1.739,0.3
805,0,0.828,1.711,0.278
806,0,0.91,1.388,0.197
807,0,0.859,1.58,0.253
808,0,0.871,1.487,0.222
809,0,0.828,1.663,0.304
810,0,0.934,1.162,0.09
811,0,0.789,1.899,0.296
812,0,0.883,1.382,0.211
813,0,0.898,1.511,0.206
814,0,0.844,1.671,0.279
815,0,0.918,1.334,0.18
816,0,0.832,1.598,0.285
817,0,0.891,1.446,0.222
818,0,0.934,1.238,0.159
819,0,0.875,1.547,0.244
820,0,0.777,1.857,0.34
821,0,0.883,1.499,0.242
822,0,0.91,1.432,0.208
823,0,0.84,1.686,0.279
824,0,0.875,1.59,0.243
825,0,0.922,1.376,0.167
826,0,0.934,1.34,0.192
827,0,0.922,1.369,0.184
828,0,0.793,1.893,0.352
829,0,0.961,1.303,0.167
830,0,0.914,1.316,0.201
831,0,0.969,1.232,0.143
