t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end
1789041335.7716,collate,3,0,30301,,,,,,49.523,49.293,,6.0,1.0,,,,,
1789041337.5693,collate,3,0,30301,,,,,,50.325,50.232,,6.0,1.0,,,,,
1789041338.9428,collate,3,0,30301,,,,,,40.097,39.98,,5.0,1.0,,,,,
1789041339.4022,collate,3,0,30301,,,,,,12.339,12.322,,2.0,1.0,,,,,
1789039865.9529,collate,3,0,29665,,,,,,74.771,74.535,,5.0,1.0,,,,,
1789039869.0253,collate,3,0,29665,,,,,,33.176,33.087,,8.0,1.0,,,,,
1789039871.5957,collate,3,0,29665,,,,,,30.908,30.825,,6.0,1.0,,,,,
1789039874.5295,collate,3,0,29665,,,,,,216.856,216.165,,7.0,1.0,,,,,
1789039877.2316,collate,3,0,29665,,,,,,34.896,34.845,,6.0,1.0,,,,,
1789039879.9624,collate,3,0,29665,,,,,,58.404,58.205,,6.0,1.0,,,,,
1789039882.6552,collate,3,0,29665,,,,,,42.858,42.807,,7.0,1.0,,,,,
1789039884.9505,collate,3,0,29665,,,,,,37.369,37.32,,6.0,1.0,,,,,
1789039887.7146,collate,3,0,29665,,,,,,34.072,34.027,,6.0,1.0,,,,,
1789039889.8471,collate,3,0,29665,,,,,,44.869,44.804,,5.0,1.0,,,,,
1789039892.3499,collate,3,0,29665,,,,,,61.979,61.878,,6.0,1.0,,,,,
1789039894.0356,collate,3,0,29665,,,,,,46.398,46.331,,5.0,1.0,,,,,
1789039897.0627,collate,3,0,29665,,,,,,64.145,64.011,,7.0,1.0,,,,,
1789039899.8033,collate,3,0,29665,,,,,,192.62,192.227,,7.0,1.0,,,,,
1789039902.7354,collate,3,0,29665,,,,,,51.657,51.555,,8.0,1.0,,,,,
1789039904.9764,collate,3,0,29665,,,,,,82.929,82.812,,5.0,1.0,,,,,
1789039907.9883,collate,3,0,29665,,,,,,63.766,61.48,,8.0,1.0,,,,,
1789039910.364,collate,3,0,29665,,,,,,69.252,69.104,,6.0,1.0,,,,,
1789039912.7974,collate,3,0,29665,,,,,,65.773,65.569,,5.0,1.0,,,,,
1789039915.5673,collate,3,0,29665,,,,,,39.818,39.699,,7.0,1.0,,,,,
1789039918.1179,collate,3,0,29665,,,,,,48.528,48.473,,7.0,1.0,,,,,
1789039920.5921,collate,3,0,29665,,,,,,43.47,43.384,,6.0,1.0,,,,,
1789039922.934,collate,3,0,29665,,,,,,118.144,117.932,,5.0,1.0,,,,,
1789039924.787,collate,3,0,29665,,,,,,56.383,56.274,,4.0,1.0,,,,,
1789039926.6712,collate,3,0,29665,,,,,,47.952,47.881,,4.0,1.0,,,,,
1789039929.6419,collate,3,0,29665,,,,,,96.525,96.358,,7.0,1.0,,,,,
1789039932.5825,collate,3,0,29665,,,,,,77.054,76.923,,8.0,1.0,,,,,
1789039934.51,collate,3,0,29665,,,,,,41.669,40.25,,5.0,1.0,,,,,
1789039936.8886,collate,3,0,29665,,,,,,77.952,77.802,,6.0,1.0,,,,,
1789039939.5083,collate,3,0,29665,,,,,,93.162,87.533,,6.0,1.0,,,,,
1789039942.4997,collate,3,0,29665,,,,,,64.666,64.523,,6.0,1.0,,,,,
1789039945.2857,collate,3,0,29665,,,,,,82.897,82.56,,6.0,1.0,,,,,
1789039947.0156,collate,3,0,29665,,,,,,40.163,40.045,,4.0,1.0,,,,,
1789039949.5652,collate,3,0,29665,,,,,,88.731,88.524,,6.0,1.0,,,,,
1789039951.5782,collate,3,0,29665,,,,,,320.543,319.329,,4.0,1.0,,,,,
1789039954.0327,collate,3,0,29665,,,,,,98.647,93.404,,6.0,1.0,,,,,
1789039956.8598,collate,3,0,29665,,,,,,83.02,82.858,,7.0,1.0,,,,,
1789039959.206,collate,3,0,29665,,,,,,163.623,154.612,,4.0,1.0,,,,,
1789039961.4596,collate,3,0,29665,,,,,,24.819,24.778,,6.0,1.0,,,,,
1789039963.7695,collate,3,0,29665,,,,,,50.313,50.227,,6.0,1.0,,,,,
1789039966.8165,collate,3,0,29665,,,,,,43.302,43.191,,7.0,1.0,,,,,
1789039969.8037,collate,3,0,29665,,,,,,22.949,22.924,,7.0,1.0,,,,,
1789039971.5106,collate,3,0,29665,,,,,,83.602,83.428,,4.0,1.0,,,,,
1789039974.0609,collate,3,0,29665,,,,,,86.876,86.745,,6.0,1.0,,,,,
1789039976.263,collate,3,0,29665,,,,,,71.846,71.717,,5.0,1.0,,,,,
1789039978.3817,collate,3,0,29665,,,,,,57.107,57.024,,5.0,1.0,,,,,
1789039980.6939,collate,3,0,29665,,,,,,25.834,25.763,,6.0,1.0,,,,,
1789039983.711,collate,3,0,29665,,,,,,44.965,44.889,,8.0,1.0,,,,,
1789039986.3714,collate,3,0,29665,,,,,,36.217,36.153,,7.0,1.0,,,,,
1789039989.1769,collate,3,0,29665,,,,,,136.883,136.552,,7.0,1.0,,,,,
1789039991.7209,collate,3,0,29665,,,,,,59.783,59.687,,6.0,1.0,,,,,
1789039994.2174,collate,3,0,29665,,,,,,45.225,45.082,,6.0,1.0,,,,,
1789039996.4024,collate,3,0,29665,,,,,,38.379,38.309,,6.0,1.0,,,,,
