global_step,epoch,train/loss,train/accept_len,train/accept_rate
453,0,0.961,1.201,0.142
454,0,0.961,1.216,0.171
455,0,0.941,1.288,0.183
456,0,0.938,1.438,0.224
457,0,0.926,1.349,0.192
458,0,0.965,1.194,0.156
459,0,0.891,1.5,0.264
460,0,0.949,1.308,0.21
461,0,0.969,1.281,0.171
462,0,0.965,1.235,0.172
463,0,0.938,1.406,0.213
464,0,0.863,1.525,0.294
465,0,0.926,1.335,0.219
466,0,0.957,1.316,0.187
467,0,0.941,1.278,0.179
468,0,0.938,1.19,0.17
469,0,0.91,1.39,0.211
470,0,0.961,1.215,0.134
471,0,0.914,1.443,0.205
472,0,0.914,1.316,0.179
473,0,0.875,1.189,0.169
474,0,0.984,1.222,0.149
475,0,0.945,1.3,0.193
476,0,0.941,1.391,0.214
477,0,0.934,1.277,0.142
478,0,0.953,1.215,0.155
479,0,0.965,1.286,0.175
480,0,0.965,1.23,0.145
481,0,0.953,1.162,0.144
482,0,0.906,1.411,0.267
483,0,1.062,1.107,0.084
484,0,0.945,1.317,0.181
485,0,0.984,1.308,0.173
486,0,0.977,1.256,0.141
487,0,0.867,1.487,0.289
488,0,0.961,1.255,0.2
489,0,0.969,1.174,0.125
490,0,0.836,1.595,0.3
491,0,0.973,1.085,0.11
492,0,0.91,1.361,0.181
493,0,0.969,1.216,0.129
494,0,0.875,1.399,0.229
495,0,0.891,1.436,0.222
496,0,0.953,1.194,0.153
497,0,0.953,1.314,0.146
498,0,0.938,1.272,0.163
499,0,0.969,1.178,0.121
500,0,0.961,1.218,0.131
501,0,0.914,1.302,0.177
502,0,0.922,1.261,0.171
503,0,0.938,1.488,0.221
504,0,0.938,1.336,0.186
505,0,0.977,1.22,0.157
506,0,0.984,1.215,0.157
507,0,0.945,1.314,0.201
508,0,0.957,1.225,0.144
509,0,1.016,1.223,0.14
510,0,1.008,1.245,0.141
511,0,0.887,1.424,0.245
512,0,1.0,1.221,0.147
513,0,0.992,1.229,0.123
514,0,0.953,1.206,0.15
515,0,0.965,1.179,0.12
516,0,0.969,1.281,0.163
517,0,0.953,1.256,0.156
518,0,0.871,1.53,0.243
519,0,0.957,1.27,0.171
520,0,0.875,1.409,0.246
521,0,0.922,1.305,0.201
522,0,0.941,1.259,0.165
523,0,0.918,1.246,0.17
524,0,0.848,1.546,0.266
525,0,0.977,1.198,0.137
526,0,0.992,1.181,0.131
527,0,1.016,1.156,0.109
528,0,0.961,1.286,0.179
529,0,0.965,1.207,0.148
530,0,0.957,1.273,0.186
531,0,1.008,1.18,0.136
532,0,0.934,1.286,0.171
533,0,0.969,1.359,0.192
534,0,0.855,1.603,0.275
535,0,0.969,1.217,0.158
536,0,0.945,1.351,0.188
537,0,0.906,1.386,0.252
538,0,0.969,1.299,0.184
539,0,0.906,1.359,0.187
540,0,0.855,1.325,0.236
541,0,0.941,1.364,0.197
542,0,1.0,1.209,0.167
543,0,0.812,1.607,0.297
544,0,0.859,1.501,0.245
545,0,0.93,1.257,0.158
546,0,0.953,1.255,0.164
547,0,0.922,1.252,0.146
548,0,0.988,1.298,0.146
549,0,0.898,1.356,0.217
550,0,0.914,1.317,0.177
551,0,0.906,1.306,0.185
552,0,0.934,1.275,0.175
553,0,0.957,1.193,0.131
554,0,0.992,1.124,0.084
555,0,0.891,1.335,0.179
556,0,0.875,1.449,0.239
557,0,0.945,1.25,0.167
558,0,0.879,1.373,0.214
559,0,0.957,1.2,0.113
560,0,0.941,1.286,0.168
561,0,0.945,1.226,0.161
562,0,1.008,1.175,0.124
563,0,0.953,1.338,0.174
564,0,0.891,1.418,0.222
565,0,0.969,1.2,0.145
566,0,0.875,1.35,0.198
567,0,0.945,1.241,0.161
568,0,0.914,1.253,0.16
569,0,0.906,1.357,0.231
570,0,0.938,1.258,0.17
571,0,0.949,1.273,0.163
572,0,0.918,1.358,0.194
573,0,0.941,1.293,0.191
574,0,0.953,1.104,0.07
575,0,0.867,1.595,0.29
576,0,0.98,1.258,0.141
577,0,0.93,1.336,0.213
578,0,0.945,1.289,0.179
579,0,0.906,1.33,0.209
580,0,0.973,1.231,0.147
581,0,0.945,1.35,0.188
582,0,0.855,1.558,0.298
583,0,0.926,1.377,0.208
584,0,0.949,1.321,0.175
585,0,0.883,1.517,0.236
586,0,0.949,1.277,0.149
587,0,0.957,1.255,0.134
588,0,0.863,1.62,0.273
589,0,0.938,1.236,0.147
590,0,0.914,1.327,0.164
591,0,0.98,1.221,0.128
592,0,0.945,1.229,0.127
593,0,0.906,1.336,0.199
594,0,0.859,1.335,0.24
595,0,0.938,1.185,0.141
596,0,0.875,1.391,0.218
597,0,0.93,1.28,0.167
598,0,0.914,1.366,0.202
599,0,0.945,1.354,0.196
600,0,0.898,1.377,0.228
601,0,0.914,1.401,0.22
602,0,0.969,1.238,0.164
603,0,0.969,1.214,0.137
604,0,0.91,1.304,0.198
605,0,0.918,1.305,0.187
606,0,0.973,1.234,0.151
607,0,1.016,1.199,0.137
608,0,0.914,1.284,0.192
609,0,0.93,1.218,0.146
610,0,1.0,1.157,0.127
611,0,0.949,1.204,0.162
612,0,0.875,1.452,0.244
613,0,0.922,1.303,0.166
614,0,0.832,1.479,0.274
615,0,0.844,1.603,0.254
616,0,0.895,1.468,0.214
617,0,0.875,1.277,0.167
618,0,0.93,1.256,0.132
619,0,0.891,1.45,0.225
620,0,0.836,1.549,0.268
621,0,0.98,1.178,0.13
622,0,0.934,1.285,0.174
623,0,0.883,1.518,0.297
624,0,0.828,1.65,0.297
625,0,0.875,1.512,0.275
626,0,0.852,1.394,0.218
627,0,0.898,1.414,0.218
628,0,0.875,1.52,0.235
629,0,0.844,1.554,0.263
630,0,0.914,1.353,0.192
631,0,0.879,1.411,0.227
632,0,0.852,1.458,0.255
633,0,0.879,1.499,0.244
634,0,0.887,1.479,0.245
635,0,0.914,1.355,0.187
636,0,0.957,1.385,0.181
637,0,0.926,1.284,0.176
638,0,0.91,1.289,0.195
639,0,0.855,1.429,0.209
640,0,0.852,1.552,0.306
641,0,0.867,1.332,0.223
642,0,0.93,1.312,0.188
643,0,0.996,1.22,0.171
644,0,0.824,1.443,0.249
645,0,0.965,1.305,0.175
646,0,0.848,1.693,0.428
647,0,0.891,1.54,0.196
648,0,0.91,1.362,0.194
649,0,0.898,1.459,0.237
650,0,0.844,1.569,0.295
651,0,0.957,1.22,0.132
652,0,0.965,1.132,0.1
653,0,0.891,1.298,0.209
654,0,0.93,1.351,0.153
655,0,0.969,1.237,0.161
656,0,0.902,1.503,0.211
657,0,0.984,1.382,0.23
658,0,0.922,1.524,0.21
659,0,0.848,1.54,0.258
660,0,0.859,1.602,0.282
661,0,0.902,1.33,0.148
662,0,0.93,1.367,0.195
663,0,0.867,1.454,0.256
664,0,0.926,1.289,0.174
665,0,0.922,1.238,0.17
666,0,0.875,1.575,0.27
667,0,0.949,1.199,0.137
668,0,0.953,1.268,0.182
669,0,0.906,1.33,0.202
670,0,0.852,1.548,0.259
671,0,0.887,1.481,0.241
672,0,0.977,1.219,0.153
673,0,0.914,1.278,0.212
674,0,0.883,1.45,0.229
675,0,0.945,1.286,0.187
676,0,0.875,1.482,0.244
677,0,0.992,1.217,0.143
678,0,0.961,1.206,0.139
679,0,0.922,1.223,0.164
680,0,0.922,1.305,0.186
681,0,0.797,1.86,0.359
682,0,0.91,1.321,0.185
683,0,0.949,1.111,0.102
684,0,0.91,1.399,0.225
685,0,0.902,1.371,0.191
686,0,0.938,1.256,0.159
687,0,0.93,1.241,0.141
688,0,0.867,1.546,0.253
689,0,0.887,1.445,0.247
