rank,K,lag,n,rho,p,p_holm
2,4,16,1484,-0.013243026178020215,0.6102267116475222,1.0
2,8,0,1500,0.008581324517106706,0.7398271028106189,1.0
2,8,1,1499,-0.0005692387292558277,0.9824313734348009,1.0
2,8,2,1498,0.003842960362104068,0.8818579536813846,1.0
2,8,3,1497,-0.005442323170245598,0.833359356848205,1.0
2,8,4,1496,-0.005983079591203046,0.8171414546950004,1.0
2,8,5,1495,-0.011353328851437815,0.6609325364864507,1.0
2,8,6,1494,-0.028174206901038765,0.2764616631649235,1.0
2,8,7,1493,-0.042286320136289815,0.10241047576814817,1.0
2,8,8,1492,-0.04209765313713153,0.1040690163882048,1.0
2,8,9,1491,-0.04204101337347949,0.10465241522238576,1.0
2,8,10,1490,-0.04715401038324659,0.06881173254082243,1.0
2,8,11,1489,-0.039077655982037204,0.13175406229539188,1.0
2,8,12,1488,-0.04510774348696866,0.08195802739003848,1.0
2,8,13,1487,-0.03480863003544774,0.17974013663617855,1.0
2,8,14,1486,-0.02762695271539516,0.2871976905626075,1.0
2,8,15,1485,-0.02409618049152113,0.35345118057070835,1.0
2,8,16,1484,-0.02157208651915405,0.4063059748353798,1.0
2,16,0,1500,-0.02505209789613901,0.33224247937443185,1.0
2,16,1,1499,-0.035677827112618535,0.1673949561184961,1.0
2,16,2,1498,-0.03137499560587881,0.2248916936246501,1.0
2,16,3,1497,-0.031692498738803976,0.2203866322744691,1.0
2,16,4,1496,-0.039967085968630724,0.12230308392588829,1.0
2,16,5,1495,-0.03427037905003577,0.18538592193870823,1.0
2,16,6,1494,-0.0333584853089121,0.19751580064607333,1.0
2,16,7,1493,-0.048563540836377234,0.06065537429745303,1.0
2,16,8,1492,-0.04772794913971007,0.0653195440932343,1.0
2,16,9,1491,-0.04625145191844857,0.07419862261252815,1.0
2,16,10,1490,-0.05290746306903025,0.0411543342065205,1.0
2,16,11,1489,-0.05329867238306473,0.039743940490404785,1.0
2,16,12,1488,-0.0552394361823738,0.03311588195350095,1.0
2,16,13,1487,-0.06722496409112819,0.009512659317094914,0.7705254046846881
2,16,14,1486,-0.059874249550971204,0.02098793628522643,1.0
2,16,15,1485,-0.04792381028538707,0.06485109650753867,1.0
2,16,16,1484,-0.04678437644926096,0.07158799377583018,1.0
2,32,0,1500,-0.05467190379269797,0.034238456167809926,1.0
2,32,1,1499,-0.05862663260271083,0.02321354628066899,1.0
2,32,2,1498,-0.056165572373063945,0.02972512335134003,1.0
2,32,3,1497,-0.06533625385980357,0.011454428844264038,0.8868221324134573
2,32,4,1496,-0.06124896661824988,0.017824603010591845,1.0
2,32,5,1495,-0.059844376829113415,0.02066578745944002,1.0
2,32,6,1494,-0.06690570126554932,0.009687369710781723,0.7749895768625379
2,32,7,1493,-0.06195098678167601,0.016663877008579443,1.0
2,32,8,1492,-0.06125474196862512,0.017967349061131378,1.0
2,32,9,1491,-0.06553497608345127,0.011369514518121248,0.8868221324134573
2,32,10,1490,-0.06954957616920533,0.0072389073678621255,0.5935904041646943
2,32,11,1489,-0.07537888237274715,0.003609827578611244,0.3032255166033445
2,32,12,1488,-0.07616295216956569,0.003284693604062092,0.2791989563452778
2,32,13,1487,-0.07165573149038759,0.005702884502486236,0.47333941370635757
2,32,14,1486,-0.06693660664627703,0.009850291737633963,0.7781730472730831
2,32,15,1485,-0.05466708496868702,0.03516653667522292,1.0
2,32,16,1484,-0.05100321363635898,0.049483086493274396,1.0
3,2,0,1500,0.11441013206259136,8.91331440711894e-06,0.0007576317246051099
3,2,1,1499,-0.002999840591671886,0.9076145283959163,1.0
3,2,2,1498,-0.011584606380709177,0.6541449615793162,1.0
3,2,3,1497,-0.013865550134174906,0.5919234374122656,1.0
3,2,4,1496,-0.00838056713667292,0.746029151159219,1.0
3,2,5,1495,-0.0006142108075874413,0.981068981281989,1.0
3,2,6,1494,-0.020667621820201584,0.4247151808353953,1.0
3,2,7,1493,0.00022288559087549827,0.9931343335141944,1.0
3,2,8,1492,0.008335970975793935,0.7476614882444743,1.0
3,2,9,1491,-0.003958619624341866,0.8786124345610553,1.0
3,2,10,1490,0.002091346090311809,0.9357128410247948,1.0
3,2,11,1489,-0.005289523516256539,0.8384005169330714,1.0
3,2,12,1488,-0.026662348456102665,0.3040402004971542,1.0
3,2,13,1487,-0.0009832960377731716,0.9697788708473762,1.0
3,2,14,1486,0.014083803106178457,0.5874865566276115,1.0
3,2,15,1485,-0.004959486713297942,0.8485588749907669,1.0
3,2,16,1484,-0.00641269945084388,0.8050405626058259,1.0
3,4,0,1500,0.07152897053700218,0.005579075010849403,0.46864230091134984
3,4,1,1499,-0.01671684458989291,0.5178066870310941,1.0
3,4,2,1498,-0.008434575456326417,0.7442842828563219,1.0
3,4,3,1497,-0.011899112131145535,0.6455009602881594,1.0
3,4,4,1496,-0.014806032465896894,0.5671710699669417,1.0
3,4,5,1495,-0.0012229806609172947,0.962316134953627,1.0
3,4,6,1494,-0.0005904286346496509,0.9818079551298111,1.0
3,4,7,1493,-0.005794592447959266,0.8229800996181409,1.0
3,4,8,1492,0.014523040750493203,0.5751163422037215,1.0
3,4,9,1491,-0.008636929649838466,0.7389619363618884,1.0
3,4,10,1490,-0.011480013980245798,0.6579269130338143,1.0
3,4,11,1489,-0.006726976646163061,0.7953555058415787,1.0
3,4,12,1488,-0.004096918917071887,0.8745317584294189,1.0
3,4,13,1487,-0.009692367543681059,0.7088150079782295,1.0
3,4,14,1486,0.012190960769205022,0.638664181138556,1.0
3,4,15,1485,-0.0054376255672949425,0.8341611338994178,1.0
3,4,16,1484,-0.008608868589941735,0.7403697603308395,1.0
3,8,0,1500,0.03578624109430669,0.16596581937435884,1.0
3,8,1,1499,-0.009081830720705895,0.7253374559735537,1.0
3,8,2,1498,-0.011001637640733166,0.6704978303825528,1.0
3,8,3,1497,-0.011660287593386642,0.6521426119980716,1.0
3,8,4,1496,-0.00407704357900842,0.8748024353180529,1.0
3,8,5,1495,-0.005287975981105936,0.8381259343389436,1.0
3,8,6,1494,-0.013044671726652484,0.6143977617540888,1.0
3,8,7,1493,-0.005340730814644614,0.8366416867407637,1.0
3,8,8,1492,0.004145395869366024,0.872890314396326,1.0
3,8,9,1491,-0.0095468962794332,0.712621216813335,1.0
3,8,10,1490,-0.0006801891832449006,0.9790709979303072,1.0
3,8,11,1489,-0.006103184375367373,0.8139670324850573,1.0
3,8,12,1488,-0.013437510637285753,0.6045040298497355,1.0
3,8,13,1487,-0.0073535945647162865,0.7769223297378124,1.0
3,8,14,1486,-0.003964993683920064,0.878621284689294,1.0
3,8,15,1485,-0.011802283836347332,0.6495106674952447,1.0
3,8,16,1484,-0.01084531756156889,0.6763482911306261,1.0
3,16,0,1500,0.02451345723589004,0.34274614637669754,1.0
3,16,1,1499,-0.012556052118951224,0.6271477656387807,1.0
3,16,2,1498,-0.012657128802999108,0.6244932429495877,1.0
3,16,3,1497,-0.008311335208893475,0.7479743415774285,1.0
3,16,4,1496,-0.012944057625463986,0.6168956824287269,1.0
3,16,5,1495,-0.00491562407250085,0.8493828654733504,1.0
3,16,6,1494,-0.013882396803174947,0.5918457476307103,1.0
3,16,7,1493,-0.008807787639019592,0.7338197697348279,1.0
3,16,8,1492,-0.0067331060867577225,0.7949712076360432,1.0
3,16,9,1491,-0.0068073107943473375,0.7928307828984091,1.0
3,16,10,1490,-0.014903871661949987,0.5653952667047552,1.0
3,16,11,1489,-0.010360188021949369,0.6895621086723913,1.0
3,16,12,1488,-0.017555869136300792,0.4986003031066324,1.0
3,16,13,1487,-0.013560110411996479,0.6013331239483959,1.0
3,16,14,1486,-0.009756761947226633,0.7070636208494387,1.0
3,16,15,1485,-0.015322877799915115,0.5551804614835874,1.0
3,16,16,1484,-0.02031618082251503,0.4341817892909178,1.0
3,32,0,1500,0.0014416719897583487,0.9555097407294568,1.0
3,32,1,1499,-0.02268755392968838,0.3800672156633065,1.0
3,32,2,1498,-0.024187786136626255,0.3495205983927292,1.0
3,32,3,1497,-0.02066869401721402,0.4242257405566392,1.0
3,32,4,1496,-0.020325258334483592,0.43212085174280845,1.0
3,32,5,1495,-0.01427582662430084,0.5812604535434096,1.0
3,32,6,1494,-0.02428804093634771,0.34817186681751,1.0
3,32,7,1493,-0.01973173000905363,0.446145371069001,1.0
3,32,8,1492,-0.016300134012677974,0.5292640480490387,1.0
3,32,9,1491,-0.023467783622170828,0.36518083557093206,1.0
3,32,10,1490,-0.025637649699787532,0.3226834142577494,1.0
3,32,11,1489,-0.02299348677806049,0.37527560853173036,1.0
3,32,12,1488,-0.03267269424522876,0.2078088823828699,1.0
3,32,13,1487,-0.025953918760314477,0.3172367237957858,1.0
3,32,14,1486,-0.026643133522229388,0.30471472086532425,1.0
3,32,15,1485,-0.03016184317173018,0.24540074956939198,1.0
3,32,16,1484,-0.03425507274710912,0.18721134265244058,1.0
