global_step,epoch,train/loss,train/accept_len,train/accept_rate
273,0,1.031,1.274,0.146
274,0,1.078,1.195,0.139
275,0,1.023,1.248,0.154
276,0,1.023,1.285,0.191
277,0,1.07,1.216,0.148
278,0,1.016,1.137,0.108
279,0,1.0,1.151,0.129
280,0,1.008,1.171,0.12
281,0,1.031,1.298,0.18
282,0,1.008,1.291,0.181
283,0,1.016,1.263,0.17
284,0,1.055,1.353,0.224
285,0,1.008,1.307,0.168
286,0,1.047,1.167,0.142
287,0,1.047,1.269,0.174
288,0,1.055,1.185,0.134
289,0,0.984,1.42,0.241
290,0,1.062,1.176,0.128
291,0,1.023,1.291,0.174
292,0,1.141,1.121,0.071
293,0,1.031,1.272,0.179
294,0,0.984,1.457,0.253
295,0,1.016,1.239,0.158
296,0,1.062,1.131,0.118
297,0,1.086,1.168,0.124
298,0,1.0,1.306,0.188
299,0,1.055,1.186,0.124
300,0,1.047,1.224,0.156
301,0,1.031,1.238,0.136
302,0,0.961,1.27,0.14
303,0,0.973,1.213,0.159
304,0,0.984,1.066,0.087
305,0,0.906,1.359,0.223
306,0,1.047,1.14,0.102
307,0,1.0,1.106,0.092
308,0,1.031,1.084,0.08
309,0,0.988,1.365,0.214
310,0,1.039,1.165,0.125
311,0,1.094,1.146,0.109
312,0,1.164,1.182,0.115
313,0,1.016,1.269,0.16
314,0,0.938,1.577,0.286
315,0,1.039,1.251,0.167
316,0,1.062,1.182,0.13
317,0,0.969,1.418,0.283
318,0,1.047,1.233,0.146
319,0,1.023,1.343,0.194
320,0,1.078,1.115,0.095
321,0,1.062,1.137,0.106
322,0,0.996,1.332,0.189
323,0,0.996,1.313,0.169
324,0,0.969,1.306,0.179
325,0,0.969,1.241,0.156
326,0,1.0,1.266,0.18
327,0,0.977,1.189,0.143
328,0,1.008,1.211,0.143
329,0,0.992,1.055,0.067
330,0,0.98,1.24,0.143
331,0,1.031,1.149,0.119
332,0,1.023,1.221,0.129
333,0,0.969,1.257,0.211
334,0,1.023,1.252,0.171
335,0,1.094,1.135,0.107
336,0,1.062,1.107,0.1
337,0,1.039,1.254,0.135
338,0,1.039,1.331,0.173
339,0,1.031,1.186,0.135
340,0,1.031,1.378,0.184
341,0,1.125,1.206,0.127
342,0,1.031,1.335,0.156
343,0,1.086,1.378,0.203
344,0,1.023,1.399,0.179
345,0,1.141,1.313,0.186
346,0,1.062,1.381,0.199
347,0,0.977,1.292,0.184
348,0,0.961,1.265,0.15
349,0,0.98,1.364,0.157
350,0,0.957,1.405,0.212
351,0,0.934,1.233,0.143
352,0,0.867,1.129,0.107
353,0,0.945,1.267,0.163
354,0,1.031,1.196,0.137
355,0,0.996,1.195,0.121
356,0,1.008,1.165,0.122
357,0,0.984,1.307,0.18
358,0,0.984,1.175,0.118
359,0,1.062,1.157,0.125
360,0,1.016,1.199,0.131
361,0,0.973,1.36,0.203
362,0,1.062,1.205,0.163
363,0,1.07,1.157,0.115
364,0,1.016,1.275,0.178
365,0,1.008,1.289,0.194
366,0,1.047,1.316,0.173
367,0,1.016,1.368,0.186
368,0,1.016,1.337,0.17
369,0,0.992,1.307,0.193
370,0,0.984,1.35,0.201
371,0,0.973,1.282,0.171
372,0,0.949,1.276,0.167
373,0,0.984,1.206,0.116
374,0,1.0,1.251,0.182
375,0,0.988,1.25,0.142
376,0,0.984,1.392,0.224
377,0,0.992,1.187,0.13
378,0,0.996,1.19,0.154
379,0,0.938,1.164,0.129
