t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end,wid
1789039573.4255,sample,3,1,29248,2492.0,423.312,31.677,True,,,,,,,,,,,,3/w1
1789039573.8364,sample,3,1,29248,3787.0,410.837,10.183,True,,,,,,,,,,,,3/w1
1789039574.3362,sample,3,1,29248,4008.0,398.877,137.481,True,,,,,,,,,,,,3/w1
1789039574.6537,sample,3,1,29248,1462.0,317.356,75.511,True,,,,,,,,,,,,3/w1
1789039574.9054,sample,3,1,29248,1628.0,251.675,23.269,True,,,,,,,,,,,,3/w1
1789039575.2008,sample,3,1,29248,4487.0,295.23,16.675,True,,,,,,,,,,,,3/w1
1789039575.7978,sample,3,1,29248,2113.0,501.409,110.417,True,,,,,,,,,,,,3/w1
1789039576.1886,sample,3,1,29248,1941.0,390.765,39.868,True,,,,,,,,,,,,3/w1
1789039576.6066,sample,3,1,29248,1485.0,417.915,32.899,True,,,,,,,,,,,,3/w1
1789039577.0001,sample,3,1,29248,4202.0,393.424,31.353,True,,,,,,,,,,,,3/w1
1789039577.2346,sample,3,1,29248,4056.0,234.343,26.591,True,,,,,,,,,,,,3/w1
1789039577.5308,sample,3,1,29248,4587.0,296.157,20.563,True,,,,,,,,,,,,3/w1
1789039577.8248,sample,3,1,29248,4647.0,293.887,20.328,True,,,,,,,,,,,,3/w1
1789039578.4158,sample,3,1,29248,3865.0,480.414,117.946,True,,,,,,,,,,,,3/w1
1789039578.8648,sample,3,1,29248,3562.0,448.963,54.716,True,,,,,,,,,,,,3/w1
1789039579.2606,sample,3,1,29248,4756.0,395.711,31.045,True,,,,,,,,,,,,3/w1
1789039579.5974,sample,3,1,29248,1024.0,336.733,24.626,True,,,,,,,,,,,,3/w1
1789039579.8249,sample,3,1,29248,4804.0,227.361,19.348,True,,,,,,,,,,,,3/w1
1789039580.5591,sample,3,1,29248,4392.0,642.636,128.335,True,,,,,,,,,,,,3/w1
1789039580.9021,sample,3,1,29248,2842.0,342.935,54.096,True,,,,,,,,,,,,3/w1
1789039581.3099,sample,3,1,29248,1609.0,407.663,41.631,True,,,,,,,,,,,,3/w1
1789039581.5552,sample,3,1,29248,2313.0,245.273,20.007,True,,,,,,,,,,,,3/w1
1789039581.7357,sample,3,1,29248,859.0,180.431,13.598,True,,,,,,,,,,,,3/w1
1789039582.1007,sample,3,1,29248,2193.0,364.887,15.442,True,,,,,,,,,,,,3/w1
1789039582.7583,sample,3,1,29248,3837.0,544.467,103.565,True,,,,,,,,,,,,3/w1
1789039583.254,sample,3,1,29248,4561.0,495.576,56.46,True,,,,,,,,,,,,3/w1
1789039583.6302,sample,3,1,29248,2189.0,376.108,34.003,True,,,,,,,,,,,,3/w1
1789039583.9486,sample,3,1,29248,4022.0,318.379,23.183,True,,,,,,,,,,,,3/w1
1789039584.3366,sample,3,1,29248,4603.0,387.877,21.22,True,,,,,,,,,,,,3/w1
1789039584.623,sample,3,1,29248,970.0,286.346,16.441,True,,,,,,,,,,,,3/w1
1789039584.8573,sample,3,1,29248,3273.0,234.154,13.041,True,,,,,,,,,,,,3/w1
1789039585.3351,sample,3,1,29248,4853.0,382.755,116.796,True,,,,,,,,,,,,3/w1
1789039585.7513,sample,3,1,29248,4078.0,416.143,59.139,True,,,,,,,,,,,,3/w1
1789039586.1671,sample,3,1,29248,4849.0,415.724,26.902,True,,,,,,,,,,,,3/w1
1789039586.5712,sample,3,1,29248,1473.0,403.97,21.936,True,,,,,,,,,,,,3/w1
1789039586.8581,sample,3,1,29248,4257.0,286.823,19.583,True,,,,,,,,,,,,3/w1
1789039587.1809,sample,3,1,29248,4742.0,322.789,12.995,True,,,,,,,,,,,,3/w1
1789039587.7661,sample,3,1,29248,952.0,477.37,111.088,True,,,,,,,,,,,,3/w1
1789039588.228,sample,3,1,29248,796.0,461.867,50.551,True,,,,,,,,,,,,3/w1
1789039588.7315,sample,3,1,29248,501.0,503.408,48.635,True,,,,,,,,,,,,3/w1
1789039589.0782,sample,3,1,29248,1056.0,346.668,32.026,True,,,,,,,,,,,,3/w1
1789039589.5205,sample,3,1,29248,3659.0,353.614,137.532,True,,,,,,,,,,,,3/w1
1789039589.9969,sample,3,1,29248,4777.0,476.344,56.271,True,,,,,,,,,,,,3/w1
1789039590.3101,sample,3,1,29248,3298.0,313.1,26.414,True,,,,,,,,,,,,3/w1
1789039590.6376,sample,3,1,29248,1871.0,327.401,22.634,True,,,,,,,,,,,,3/w1
1789039590.9276,sample,3,1,29248,4273.0,289.979,22.004,True,,,,,,,,,,,,3/w1
1789039591.298,sample,3,1,29248,3278.0,370.239,19.294,True,,,,,,,,,,,,3/w1
1789039592.0087,sample,3,1,29248,1415.0,609.531,106.976,True,,,,,,,,,,,,3/w1
1789039592.2849,sample,3,1,29248,1774.0,276.184,56.328,True,,,,,,,,,,,,3/w1
1789039592.6723,sample,3,1,29248,2905.0,387.291,32.288,True,,,,,,,,,,,,3/w1
1789039592.983,sample,3,1,29248,380.0,310.671,24.376,True,,,,,,,,,,,,3/w1
1789039593.224,sample,3,1,29248,3758.0,240.886,23.844,True,,,,,,,,,,,,3/w1
1789039593.5082,sample,3,1,29248,3041.0,284.1,19.27,True,,,,,,,,,,,,3/w1
1789039594.3497,sample,3,1,29248,911.0,739.09,111.56,True,,,,,,,,,,,,3/w1
1789039594.6896,sample,3,1,29248,1878.0,339.787,63.696,True,,,,,,,,,,,,3/w1
1789039594.9334,sample,3,1,29248,4205.0,243.763,30.46,True,,,,,,,,,,,,3/w1
1789039595.2971,sample,3,1,29248,2433.0,363.598,22.448,True,,,,,,,,,,,,3/w1
1789039595.5137,sample,3,1,29248,1144.0,216.539,15.33,True,,,,,,,,,,,,3/w1
1789039595.9294,sample,3,1,29248,4126.0,303.794,108.131,True,,,,,,,,,,,,3/w1
1789039596.4553,sample,3,1,29248,3590.0,525.77,56.142,True,,,,,,,,,,,,3/w1
1789039596.6985,sample,3,1,29248,24.0,243.07,34.874,True,,,,,,,,,,,,3/w1
1789039596.9528,sample,3,1,29248,4594.0,254.275,24.551,True,,,,,,,,,,,,3/w1
1789039597.3198,sample,3,1,29248,2972.0,366.806,24.195,True,,,,,,,,,,,,3/w1
