t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789038343.2813,timeline,1,-1,28341,,,,,,,20.0,0.0,21.0,0.172,71799.146234,71800.874723,71801.188014,71801.188014,71801.197186
1789038343.2848,timeline,0,-1,28340,,,,,,,20.0,0.0,21.0,0.138,71799.146653,71800.873044,71801.192516,71801.192516,71801.200695
1789038343.281,timeline,2,-1,28342,,,,,,,20.0,0.0,21.0,938.084,71800.081778,71800.876215,71801.189636,71801.189636,71801.196974
1789038343.2811,timeline,3,-1,28343,,,,,,,20.0,0.0,21.0,1637.295,71800.779905,71800.871287,71801.189311,71801.189311,71801.197
1789038344.0214,timeline,2,-1,28342,,,,,,,21.0,0.0,22.0,0.115,71801.197237,71801.916847,71801.937283,71801.937283,71801.937298
1789038344.0244,timeline,1,-1,28341,,,,,,,21.0,0.0,22.0,0.112,71801.19755,71801.920019,71801.940319,71801.940319,71801.940339
1789038344.0222,timeline,0,-1,28340,,,,,,,21.0,0.0,22.0,0.191,71801.201328,71801.917035,71801.938121,71801.938121,71801.938139
1789038344.0206,timeline,3,-1,28343,,,,,,,21.0,0.0,22.0,629.209,71801.826562,71801.915709,71801.936521,71801.936521,71801.936538
1789038345.4162,timeline,0,-1,28340,,,,,,,22.0,0.0,23.0,0.129,71801.938566,71803.310949,71803.332089,71803.332089,71803.332112
1789038345.4295,timeline,1,-1,28341,,,,,,,22.0,0.0,23.0,0.104,71801.940762,71803.326561,71803.345433,71803.345433,71803.345448
1789038345.4136,timeline,2,-1,28342,,,,,,,22.0,0.0,23.0,406.587,71802.344116,71803.309055,71803.329539,71803.329539,71803.329556
1789038345.4174,timeline,3,-1,28343,,,,,,,22.0,0.0,23.0,1283.33,71803.220086,71803.312858,71803.333342,71803.333342,71803.333357
1789038346.617,timeline,2,-1,28342,,,,,,,23.0,0.0,24.0,0.104,71803.329914,71804.284724,71804.532908,71804.532908,71804.532922
1789038346.617,timeline,0,-1,28340,,,,,,,23.0,0.0,24.0,0.154,71803.33297,71804.28555,71804.532876,71804.532876,71804.532887
1789038346.6178,timeline,1,-1,28341,,,,,,,23.0,0.0,24.0,0.095,71803.345781,71804.289916,71804.533677,71804.533677,71804.533689
1789038346.6109,timeline,3,-1,28343,,,,,,,23.0,0.0,24.0,861.541,71804.19511,71804.283558,71804.526808,71804.526808,71804.526821
1789038347.6994,timeline,0,-1,28340,,,,,,,24.0,0.0,25.0,0.118,71804.533344,71805.594207,71805.615334,71805.615334,71805.61535
1789038347.6994,timeline,1,-1,28341,,,,,,,24.0,0.0,25.0,0.095,71804.534073,71805.59612,71805.615346,71805.615346,71805.615364
1789038347.6998,timeline,2,-1,28342,,,,,,,24.0,0.0,25.0,63.311,71804.596449,71805.594929,71805.615751,71805.615751,71805.615767
1789038347.6978,timeline,3,-1,28343,,,,,,,24.0,0.0,25.0,976.322,71805.503372,71805.592897,71805.613758,71805.613758,71805.613775
1789038348.2193,timeline,1,-1,28341,,,,,,,25.0,0.0,26.0,0.09,71805.615718,71806.116367,71806.13526,71806.13526,71806.135274
1789038348.2201,timeline,0,-1,28340,,,,,,,25.0,0.0,26.0,0.169,71805.616066,71806.115164,71806.13598,71806.13598,71806.135997
1789038348.2181,timeline,2,-1,28342,,,,,,,25.0,0.0,26.0,0.123,71805.616262,71806.113234,71806.133989,71806.133989,71806.134002
1789038348.218,timeline,3,-1,28343,,,,,,,25.0,0.0,26.0,409.99,71806.023973,71806.113405,71806.133894,71806.133894,71806.133909
1789038350.67,timeline,1,-1,28341,,,,,,,26.0,0.0,27.0,0.103,71806.135663,71808.341024,71808.585897,71808.585897,71808.585913
1789038350.6759,timeline,0,-1,28340,,,,,,,26.0,0.0,27.0,0.132,71806.13646,71808.337241,71808.591768,71808.591768,71808.591782
1789038350.6659,timeline,2,-1,28342,,,,,,,26.0,0.0,27.0,562.417,71806.696622,71808.339432,71808.581835,71808.581835,71808.58185
1789038350.6753,timeline,3,-1,28343,,,,,,,26.0,0.0,27.0,2113.51,71808.247641,71808.338038,71808.591183,71808.591183,71808.591195
1789038350.9428,timeline,2,-1,28342,,,,,,,27.0,0.0,28.0,0.125,71808.582383,71808.83802,71808.858686,71808.858686,71808.858699
1789038350.9432,timeline,1,-1,28341,,,,,,,27.0,0.0,28.0,0.126,71808.58642,71808.839874,71808.859069,71808.859069,71808.859088
1789038350.9474,timeline,0,-1,28340,,,,,,,27.0,0.0,28.0,0.213,71808.592459,71808.839208,71808.863315,71808.863315,71808.863342
1789038350.9423,timeline,3,-1,28343,,,,,,,27.0,0.0,28.0,156.834,71808.748337,71808.83735,71808.858239,71808.858239,71808.858254
1789038353.0387,timeline,1,-1,28341,,,,,,,28.0,0.0,29.0,0.104,71808.859488,71810.935195,71810.954571,71810.954571,71810.954593
1789038353.0396,timeline,0,-1,28340,,,,,,,28.0,0.0,29.0,0.186,71808.863784,71810.935084,71810.955472,71810.955472,71810.955495
1789038353.0382,timeline,2,-1,28342,,,,,,,28.0,0.0,29.0,328.062,71809.186968,71810.932621,71810.954132,71810.954132,71810.954147
1789038353.0374,timeline,3,-1,28343,,,,,,,28.0,0.0,29.0,1984.008,71810.842494,71810.93238,71810.953263,71810.953263,71810.953281
1789038354.2012,timeline,2,-1,28342,,,,,,,29.0,0.0,30.0,0.112,71810.954523,71811.87085,71812.117128,71812.117128,71812.117141
1789038354.1983,timeline,1,-1,28341,,,,,,,29.0,0.0,30.0,0.128,71810.955035,71811.871553,71812.114194,71812.114194,71812.114209
1789038354.2035,timeline,0,-1,28340,,,,,,,29.0,0.0,30.0,0.183,71810.956274,71811.869764,71812.119371,71812.119371,71812.119383
1789038354.204,timeline,3,-1,28343,,,,,,,29.0,0.0,30.0,826.389,71811.779925,71811.870349,71812.11992,71812.11992,71812.119937
