t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789039585.0868,collate,3,0,29237,,160.022,159.773,,7.0,1.0,,,,,,,,,
1789039587.2215,collate,3,0,29237,,35.121,34.991,,6.0,1.0,,,,,,,,,
1789039589.3742,collate,3,0,29237,,47.054,47.0,,5.0,1.0,,,,,,,,,
1789039591.2995,collate,3,0,29237,,35.641,35.545,,5.0,1.0,,,,,,,,,
1789039593.3455,collate,3,0,29237,,37.931,37.877,,5.0,1.0,,,,,,,,,
1789039595.7236,collate,3,0,29237,,212.432,211.919,,6.0,1.0,,,,,,,,,
1789039597.8403,collate,3,0,29237,,113.746,113.59,,5.0,1.0,,,,,,,,,
1789039599.7758,collate,3,0,29237,,41.349,41.297,,5.0,1.0,,,,,,,,,
1789039601.7455,collate,3,0,29237,,40.444,40.345,,5.0,1.0,,,,,,,,,
1789039603.9844,collate,3,0,29237,,35.021,34.954,,6.0,1.0,,,,,,,,,
1789039606.9711,collate,3,0,29237,,78.0,77.865,,9.0,1.0,,,,,,,,,
1789039608.9368,collate,3,0,29237,,40.218,40.095,,5.0,1.0,,,,,,,,,
1789039610.8377,collate,3,0,29237,,47.935,47.85,,5.0,1.0,,,,,,,,,
1789039613.027,collate,3,0,29237,,35.339,35.272,,6.0,1.0,,,,,,,,,
1789039615.1054,collate,3,0,29237,,48.667,48.554,,6.0,1.0,,,,,,,,,
1789039617.5315,collate,3,0,29237,,105.134,104.943,,6.0,1.0,,,,,,,,,
1789039619.4411,collate,3,0,29237,,45.399,45.159,,5.0,1.0,,,,,,,,,
1789039621.3812,collate,3,0,29237,,37.564,37.43,,5.0,1.0,,,,,,,,,
1789039623.3416,collate,3,0,29237,,51.634,51.536,,6.0,1.0,,,,,,,,,
1789039625.795,collate,3,0,29237,,33.208,33.158,,6.0,1.0,,,,,,,,,
1789039628.0559,collate,3,0,29237,,65.611,65.511,,6.0,1.0,,,,,,,,,
1789039629.8164,collate,3,0,29237,,74.187,74.048,,6.0,1.0,,,,,,,,,
1789039632.1836,collate,3,0,29237,,37.897,37.746,,6.0,1.0,,,,,,,,,
1789039634.2682,collate,3,0,29237,,34.585,34.503,,7.0,1.0,,,,,,,,,
1789039636.5239,collate,3,0,29237,,30.903,30.869,,6.0,1.0,,,,,,,,,
1789039638.3252,collate,3,0,29237,,56.032,55.848,,5.0,1.0,,,,,,,,,
1789039640.8935,collate,3,0,29237,,49.447,49.212,,6.0,1.0,,,,,,,,,
1789039643.2158,collate,3,0,29237,,52.815,52.693,,6.0,1.0,,,,,,,,,
1789039645.2554,collate,3,0,29237,,39.497,39.327,,6.0,1.0,,,,,,,,,
1789039646.7966,collate,3,0,29237,,32.045,31.959,,4.0,1.0,,,,,,,,,
1789039648.8266,collate,3,0,29237,,53.455,53.373,,5.0,1.0,,,,,,,,,
1789039651.2106,collate,3,0,29237,,44.284,44.179,,6.0,1.0,,,,,,,,,
1789039653.0244,collate,3,0,29237,,42.157,42.091,,5.0,1.0,,,,,,,,,
1789039655.6041,collate,3,0,29237,,35.711,35.562,,7.0,1.0,,,,,,,,,
1789039657.5609,collate,3,0,29237,,33.275,33.181,,5.0,1.0,,,,,,,,,
1789039660.2685,collate,3,0,29237,,57.898,57.713,,7.0,1.0,,,,,,,,,
1789039662.9243,collate,3,0,29237,,52.78,52.689,,6.0,1.0,,,,,,,,,
1789039664.7935,collate,3,0,29237,,122.805,122.659,,4.0,1.0,,,,,,,,,
1789039666.7782,collate,3,0,29237,,89.742,89.563,,5.0,1.0,,,,,,,,,
1789039668.856,collate,3,0,29237,,116.539,116.337,,5.0,1.0,,,,,,,,,
1789039671.1009,collate,3,0,29237,,245.971,245.302,,6.0,1.0,,,,,,,,,
1789039672.4932,collate,3,0,29237,,55.334,55.255,,4.0,1.0,,,,,,,,,
1789039675.1006,collate,3,0,29237,,33.33,33.278,,8.0,1.0,,,,,,,,,
1789039677.7528,collate,3,0,29237,,32.907,32.843,,7.0,1.0,,,,,,,,,
1789039679.3692,collate,3,0,29237,,37.674,37.581,,5.0,1.0,,,,,,,,,
1789039681.7704,collate,3,0,29237,,30.684,30.624,,7.0,1.0,,,,,,,,,
1789039683.5677,collate,3,0,29237,,56.841,56.749,,4.0,1.0,,,,,,,,,
1789039685.3721,collate,3,0,29237,,39.26,39.199,,5.0,1.0,,,,,,,,,
1789039686.4995,collate,3,0,29237,,29.842,29.769,,3.0,1.0,,,,,,,,,
1789039689.0328,collate,3,0,29237,,32.738,32.693,,8.0,1.0,,,,,,,,,
1789039691.5075,collate,3,0,29237,,32.142,32.043,,6.0,1.0,,,,,,,,,
1789039693.6038,collate,3,0,29237,,57.11,56.912,,5.0,1.0,,,,,,,,,
1789039695.6465,collate,3,0,29237,,40.936,40.86,,5.0,1.0,,,,,,,,,
1789039697.7367,collate,3,0,29237,,32.722,32.679,,5.0,1.0,,,,,,,,,
1789039699.5763,collate,3,0,29237,,40.869,40.808,,5.0,1.0,,,,,,,,,
1789039701.8883,collate,3,0,29237,,34.232,34.16,,7.0,1.0,,,,,,,,,
1789039704.4512,collate,3,0,29237,,30.821,30.754,,8.0,1.0,,,,,,,,,
1789039706.9548,collate,3,0,29237,,51.499,51.399,,7.0,1.0,,,,,,,,,
1789039708.7238,collate,3,0,29237,,95.993,95.848,,5.0,1.0,,,,,,,,,
1789039710.3897,collate,3,0,29237,,28.036,27.99,,6.0,1.0,,,,,,,,,
1789039713.4642,collate,3,0,29237,,34.751,34.706,,8.0,1.0,,,,,,,,,
1789039715.2143,collate,3,0,29237,,29.747,29.67,,6.0,1.0,,,,,,,,,
1789039717.1554,collate,3,0,29237,,29.143,29.103,,5.0,1.0,,,,,,,,,
1789039719.5007,collate,3,0,29237,,33.574,33.498,,7.0,1.0,,,,,,,,,
1789039721.3711,collate,3,0,29237,,50.051,49.961,,5.0,1.0,,,,,,,,,
1789039723.585,collate,3,0,29237,,42.357,42.301,,6.0,1.0,,,,,,,,,
1789039725.9029,collate,3,0,29237,,32.198,32.064,,7.0,1.0,,,,,,,,,
1789039728.2969,collate,3,0,29237,,33.107,33.046,,7.0,1.0,,,,,,,,,
1789039730.3227,collate,3,0,29237,,38.112,38.058,,6.0,1.0,,,,,,,,,
1789039732.5335,collate,3,0,29237,,43.172,43.094,,6.0,1.0,,,,,,,,,
1789039735.1978,collate,3,0,29237,,50.767,50.643,,7.0,1.0,,,,,,,,,
1789039736.67,collate,3,0,29237,,32.078,32.031,,5.0,1.0,,,,,,,,,
1789039738.754,collate,3,0,29237,,43.822,43.763,,5.0,1.0,,,,,,,,,
1789039741.5648,collate,3,0,29237,,33.719,33.638,,7.0,1.0,,,,,,,,,
1789039744.0188,collate,3,0,29237,,49.792,49.729,,6.0,1.0,,,,,,,,,
1789039746.3279,collate,3,0,29237,,42.492,42.429,,6.0,1.0,,,,,,,,,
1789039748.6837,collate,3,0,29237,,39.674,39.591,,6.0,1.0,,,,,,,,,
1789039750.2765,collate,3,0,29237,,31.004,30.926,,4.0,1.0,,,,,,,,,
1789039752.8136,collate,3,0,29237,,47.976,47.904,,7.0,1.0,,,,,,,,,
1789039754.0293,collate,3,0,29237,,34.381,34.326,,3.0,1.0,,,,,,,,,
1789039756.9292,collate,3,0,29237,,32.168,32.111,,8.0,1.0,,,,,,,,,
1789039759.0372,collate,3,0,29237,,48.0,47.929,,5.0,1.0,,,,,,,,,
1789039761.0249,collate,3,0,29237,,50.009,49.936,,5.0,1.0,,,,,,,,,
1789039763.6613,collate,3,0,29237,,36.236,36.165,,7.0,1.0,,,,,,,,,
1789039765.7004,collate,3,0,29237,,37.513,37.449,,5.0,1.0,,,,,,,,,
1789039768.142,collate,3,0,29237,,46.831,46.762,,7.0,1.0,,,,,,,,,
1789039770.6049,collate,3,0,29237,,74.296,74.129,,6.0,1.0,,,,,,,,,
1789039772.6417,collate,3,0,29237,,44.75,44.699,,5.0,1.0,,,,,,,,,
1789039774.5678,collate,3,0,29237,,44.066,43.975,,5.0,1.0,,,,,,,,,
1789039776.4664,collate,3,0,29237,,33.026,32.936,,5.0,1.0,,,,,,,,,
1789039778.6679,collate,3,0,29237,,33.604,33.544,,6.0,1.0,,,,,,,,,
1789039780.9159,collate,3,0,29237,,31.345,31.291,,6.0,1.0,,,,,,,,,
1789039783.1572,collate,3,0,29237,,49.672,49.569,,6.0,1.0,,,,,,,,,
1789039784.829,collate,3,0,29237,,48.333,48.281,,6.0,1.0,,,,,,,,,
1789039786.0967,collate,3,0,29237,,36.878,36.828,,5.0,1.0,,,,,,,,,
1789038318.3184,collate,3,0,28575,,67.04,66.923,,5.0,1.0,,,,,,,,,
1789038321.5208,collate,3,0,28575,,51.433,51.322,,8.0,1.0,,,,,,,,,
1789038324.0248,collate,3,0,28575,,39.212,39.152,,6.0,1.0,,,,,,,,,
1789038326.3881,collate,3,0,28575,,38.507,38.442,,7.0,1.0,,,,,,,,,
1789038328.789,collate,3,0,28575,,40.239,40.2,,6.0,1.0,,,,,,,,,
1789038330.8016,collate,3,0,28575,,52.617,52.515,,5.0,1.0,,,,,,,,,
1789038333.1417,collate,3,0,28575,,213.128,212.78,,6.0,1.0,,,,,,,,,
1789038335.7177,collate,3,0,28575,,70.692,70.463,,6.0,1.0,,,,,,,,,
1789038338.3008,collate,3,0,28575,,193.613,193.27,,6.0,1.0,,,,,,,,,
1789038340.5977,collate,3,0,28575,,54.636,54.408,,6.0,1.0,,,,,,,,,
1789038342.7296,collate,3,0,28575,,157.881,157.581,,5.0,1.0,,,,,,,,,
1789038345.1615,collate,3,0,28575,,63.696,63.581,,6.0,1.0,,,,,,,,,
1789038347.4428,collate,3,0,28575,,24.94,24.914,,5.0,1.0,,,,,,,,,
1789038350.1927,collate,3,0,28575,,52.364,52.257,,7.0,1.0,,,,,,,,,
1789038352.7769,collate,3,0,28575,,32.655,32.57,,6.0,1.0,,,,,,,,,
1789038354.8889,collate,3,0,28575,,82.341,82.163,,5.0,1.0,,,,,,,,,
1789038357.6851,collate,3,0,28575,,154.102,153.858,,7.0,1.0,,,,,,,,,
1789038359.73,collate,3,0,28575,,52.05,51.988,,5.0,1.0,,,,,,,,,
1789038361.7596,collate,3,0,28575,,25.901,25.861,,5.0,1.0,,,,,,,,,
1789038363.8905,collate,3,0,28575,,60.723,60.581,,5.0,1.0,,,,,,,,,
1789038366.6432,collate,3,0,28575,,131.732,131.311,,7.0,1.0,,,,,,,,,
1789038369.4573,collate,3,0,28575,,108.468,108.277,,7.0,1.0,,,,,,,,,
1789038371.9727,collate,3,0,28575,,56.883,56.764,,6.0,1.0,,,,,,,,,
1789038374.0969,collate,3,0,28575,,45.823,45.753,,5.0,1.0,,,,,,,,,
1789038375.9401,collate,3,0,28575,,143.109,142.692,,4.0,1.0,,,,,,,,,
1789038377.9127,collate,3,0,28575,,21.332,21.304,,4.0,1.0,,,,,,,,,
1789038380.7458,collate,3,0,28575,,59.444,59.323,,7.0,1.0,,,,,,,,,
1789038383.789,collate,3,0,28575,,76.372,76.237,,8.0,1.0,,,,,,,,,
1789038385.9845,collate,3,0,28575,,48.214,48.127,,5.0,1.0,,,,,,,,,
1789038388.3019,collate,3,0,28575,,82.156,82.014,,6.0,1.0,,,,,,,,,
1789038390.7688,collate,3,0,28575,,163.779,163.358,,6.0,1.0,,,,,,,,,
1789038393.2979,collate,3,0,28575,,48.123,48.054,,6.0,1.0,,,,,,,,,
1789038396.0485,collate,3,0,28575,,26.365,26.318,,7.0,1.0,,,,,,,,,
1789038399.3924,collate,3,0,28575,,138.634,138.3,,7.0,1.0,,,,,,,,,
1789038401.8799,collate,3,0,28575,,22.415,22.392,,6.0,1.0,,,,,,,,,
1789038403.8639,collate,3,0,28575,,85.679,85.533,,4.0,1.0,,,,,,,,,
1789038406.4177,collate,3,0,28575,,51.279,51.178,,6.0,1.0,,,,,,,,,
1789038408.6298,collate,3,0,28575,,112.369,112.167,,5.0,1.0,,,,,,,,,
1789038411.1304,collate,3,0,28575,,32.956,32.879,,6.0,1.0,,,,,,,,,
1789038413.0835,collate,3,0,28575,,45.223,45.146,,5.0,1.0,,,,,,,,,
1789038415.6338,collate,3,0,28575,,88.928,88.724,,5.0,1.0,,,,,,,,,
1789038418.5697,collate,3,0,28575,,26.166,26.115,,7.0,1.0,,,,,,,,,
1789038420.9879,collate,3,0,28575,,39.894,39.836,,5.0,1.0,,,,,,,,,
1789038423.4938,collate,3,0,28575,,57.659,57.546,,6.0,1.0,,,,,,,,,
1789038425.3433,collate,3,0,28575,,49.179,49.099,,4.0,1.0,,,,,,,,,
1789038427.6717,collate,3,0,28575,,76.579,74.453,,5.0,1.0,,,,,,,,,
1789038429.9311,collate,3,0,28575,,28.432,28.383,,5.0,1.0,,,,,,,,,
1789038432.1769,collate,3,0,28575,,38.193,38.132,,6.0,1.0,,,,,,,,,
1789038435.18,collate,3,0,28575,,35.941,35.875,,8.0,1.0,,,,,,,,,
