rank,step,n_docs,total_tokens,packed_tokens,collate_ms,sample_sum_ms,sample_max_ms,sample_mean_tok,load_ms,docs_tl,bucket
0,90,2,3406.0,3406.0,42.172,1449.918,1078.166,1703.0,0.228,2,2
0,91,4,3954.0,3954.0,196.212,1904.5620000000001,926.206,988.5,0.188,4,4
0,92,3,3835.0,3835.0,83.14,1696.341,1045.909,1278.3333333333333,0.193,5,3
0,93,5,3894.0,3894.0,77.176,1941.971,749.407,778.8,0.116,3,5
0,94,2,3536.0,3536.0,31.752,1211.827,956.37,1768.0,0.163,5,2
0,95,5,3734.0,3734.0,105.802,2144.897,732.85,746.8,0.142,2,5
0,96,4,3479.0,3479.0,32.123,1781.318,1023.258,869.75,0.131,4,4
0,97,5,4002.0,4002.0,32.223,2221.585,1030.312,800.4,0.152,5,5
0,98,4,4002.0,4002.0,154.334,2183.977,1304.398,1000.5,0.19,4,4
0,99,6,3952.0,3952.0,57.48,2661.857,1001.388,658.6666666666666,0.126,6,6
0,100,4,4050.0,4050.0,44.042,1853.4950000000001,903.044,1012.5,0.158,4,4
0,101,4,3840.0,3840.0,51.44,1841.0859999999998,788.209,960.0,0.18,4,4
0,102,4,3833.0,3833.0,23.109,1870.802,978.993,958.25,0.133,4,4
0,103,6,3802.0,3802.0,66.224,2454.7120000000004,659.0,633.6666666666666,0.141,6,6
0,104,5,4006.0,4006.0,85.395,2064.863,656.164,801.2,0.157,5,5
0,105,5,4013.0,4013.0,46.632,2159.505,811.607,802.6,0.161,5,5
0,106,4,3846.0,3846.0,80.892,1929.803,905.224,961.5,0.147,4,4
0,107,5,3989.0,3989.0,240.334,1873.7479999999998,467.674,797.8,0.189,5,5
0,108,3,3749.0,3749.0,42.086,1378.8760000000002,831.123,1249.6666666666667,0.168,3,3
0,109,4,4050.0,4050.0,73.483,1901.5770000000002,1006.881,1012.5,0.189,4,4
0,110,6,3806.0,3806.0,28.556,2233.896,715.157,634.3333333333334,0.197,7,6
0,111,7,4064.0,4064.0,67.42,2919.513,745.109,580.5714285714286,0.146,6,7
0,112,5,3745.0,3745.0,56.728,1738.4279999999999,525.637,749.0,0.221,5,5
0,113,6,3945.0,3945.0,134.16,2406.652,636.364,657.5,0.192,6,6
0,114,3,3845.0,3845.0,41.746,1779.4319999999998,1063.115,1281.6666666666667,0.177,3,3
0,115,3,4039.0,4039.0,38.611,1723.856,988.036,1346.3333333333333,0.193,3,3
0,116,4,3958.0,3958.0,61.62,2014.884,971.672,989.5,0.155,4,4
0,117,5,4041.0,4041.0,94.934,2134.9249999999997,905.619,808.2,0.146,5,5
0,118,3,3995.0,3995.0,87.744,1857.814,1037.067,1331.6666666666667,0.158,3,3
0,119,4,4004.0,4004.0,152.871,1876.458,724.806,1001.0,0.151,4,4
0,120,6,3957.0,3957.0,67.716,2362.993,659.745,659.5,0.154,6,6
0,121,6,4063.0,4063.0,113.736,2548.0879999999997,740.503,677.1666666666666,0.196,6,6
0,122,5,4025.0,4025.0,50.015,2253.189,835.51,805.0,0.29,5,5
0,123,6,3904.0,3904.0,46.767,2492.794,548.771,650.6666666666666,0.114,6,6
0,124,4,3944.0,3944.0,28.454,1962.865,922.639,986.0,0.176,4,4
0,125,6,3858.0,3858.0,34.148,2169.4230000000002,480.166,643.0,0.154,6,6
0,126,4,3966.0,3966.0,45.9,2011.5919999999996,883.237,991.5,0.127,4,4
0,127,6,3948.0,3948.0,50.022,2206.96,554.997,658.0,0.172,6,6
0,128,6,4051.0,4051.0,37.951,2565.401,800.396,675.1666666666666,0.232,6,6
