t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end
1789039882.314,timeline,2,-1,29431,13.0,0.0,14.0,1201.139,,,,,,,73340.118596,73340.20901,73340.229939,73340.229939,73340.229958
1789039883.1675,timeline,0,-1,29429,14.0,0.0,15.0,0.173,,,,,,,73340.229831,73340.833686,73341.083403,73341.083403,73341.083417
1789039883.1589,timeline,1,-1,29430,14.0,0.0,15.0,299.942,,,,,,,73340.530649,73340.835412,73341.074837,73341.074837,73341.074856
1789039883.1618,timeline,3,-1,29432,14.0,0.0,15.0,508.045,,,,,,,73340.735647,73340.833363,73341.07772,73341.07772,73341.077731
1789039883.1775,timeline,2,-1,29431,14.0,0.0,15.0,514.368,,,,,,,73340.744557,73340.833811,73341.093448,73341.093448,73341.093466
1789039884.6396,timeline,0,-1,29429,15.0,0.0,16.0,0.14,,,,,,,73341.083864,73342.53455,73342.555546,73342.555546,73342.555563
1789039884.6391,timeline,1,-1,29430,15.0,0.0,16.0,375.569,,,,,,,73341.45065,73342.534249,73342.555047,73342.555047,73342.555066
1789039884.6375,timeline,3,-1,29432,15.0,0.0,16.0,1292.458,,,,,,,73342.37041,73342.53258,73342.553452,73342.553452,73342.553469
1789039884.6371,timeline,2,-1,29431,15.0,0.0,16.0,1348.203,,,,,,,73342.441934,73342.531506,73342.552995,73342.552995,73342.553012
1789039885.2417,timeline,0,-1,29429,16.0,0.0,17.0,0.135,,,,,,,73342.555995,73343.136825,73343.157617,73343.157617,73343.157634
1789039885.2399,timeline,3,-1,29432,16.0,0.0,17.0,454.142,,,,,,,73343.007865,73343.134824,73343.155832,73343.155832,73343.155847
1789039885.2413,timeline,2,-1,29431,16.0,0.0,17.0,486.75,,,,,,,73343.040033,73343.135886,73343.15718,73343.15718,73343.157196
1789039885.2405,timeline,1,-1,29430,16.0,0.0,17.0,490.285,,,,,,,73343.045573,73343.13618,73343.1564,73343.1564,73343.156416
1789039887.1982,timeline,0,-1,29429,17.0,0.0,18.0,0.143,,,,,,,73343.158039,73344.846678,73345.114115,73345.114115,73345.114127
1789039887.1816,timeline,1,-1,29430,17.0,0.0,18.0,208.947,,,,,,,73343.365587,73344.831656,73345.097493,73345.097493,73345.097506
1789039887.1894,timeline,3,-1,29432,17.0,0.0,18.0,1378.313,,,,,,,73344.534378,73344.828422,73345.105346,73345.105346,73345.105357
1789039887.1727,timeline,2,-1,29431,17.0,0.0,18.0,1580.012,,,,,,,73344.737467,73344.829882,73345.088635,73345.088635,73345.08865
1789039888.0671,timeline,0,-1,29429,18.0,0.0,19.0,0.114,,,,,,,73345.114519,73345.961763,73345.983022,73345.983022,73345.983037
1789039888.0686,timeline,1,-1,29430,18.0,0.0,19.0,206.85,,,,,,,73345.304592,73345.964229,73345.984527,73345.984527,73345.984542
1789039888.0687,timeline,3,-1,29432,18.0,0.0,19.0,666.86,,,,,,,73345.77244,73345.963823,73345.984658,73345.984658,73345.984673
1789039888.0674,timeline,2,-1,29431,18.0,0.0,19.0,782.97,,,,,,,73345.871866,73345.962628,73345.983284,73345.983284,73345.983301
1789039890.0893,timeline,0,-1,29429,19.0,0.0,20.0,0.146,,,,,,,73345.983432,73347.983854,73348.005198,73348.005198,73348.005215
1789039890.0913,timeline,1,-1,29430,19.0,0.0,20.0,354.569,,,,,,,73346.339319,73347.987122,73348.007221,73348.007221,73348.007235
1789039890.0906,timeline,2,-1,29431,19.0,0.0,20.0,1780.295,,,,,,,73347.763828,73347.986044,73348.006494,73348.006494,73348.006516
1789039890.0908,timeline,3,-1,29432,19.0,0.0,20.0,1910.681,,,,,,,73347.895585,73347.986068,73348.006724,73348.006724,73348.006747
1789039890.9059,timeline,0,-1,29429,20.0,0.0,21.0,0.133,,,,,,,73348.00561,73348.441719,73348.809198,73348.809198,73348.821788
1789039890.9022,timeline,1,-1,29430,20.0,0.0,21.0,0.103,,,,,,,73348.007619,73348.443184,73348.809188,73348.809188,73348.818173
1789039890.9023,timeline,3,-1,29432,20.0,0.0,21.0,324.084,,,,,,,73348.33107,73348.441988,73348.813658,73348.813658,73348.818199
1789039890.9023,timeline,2,-1,29431,20.0,0.0,21.0,344.531,,,,,,,73348.351299,73348.44173,73348.809185,73348.809185,73348.818275
1789039892.625,timeline,0,-1,29429,21.0,0.0,22.0,0.146,,,,,,,73348.822195,73350.519603,73350.540905,73350.540905,73350.540921
1789039892.6254,timeline,1,-1,29430,21.0,0.0,22.0,118.118,,,,,,,73348.936599,73350.520489,73350.541313,73350.541313,73350.541336
1789039892.6262,timeline,2,-1,29431,21.0,0.0,22.0,1345.317,,,,,,,73350.163838,73350.520563,73350.542091,73350.542091,73350.542111
1789039892.6249,timeline,3,-1,29432,21.0,0.0,22.0,1587.357,,,,,,,73350.405782,73350.519676,73350.540783,73350.540783,73350.540801
1789039893.5723,timeline,0,-1,29429,22.0,0.0,23.0,0.139,,,,,,,73350.541317,73351.467136,73351.488247,73351.488247,73351.488263
1789039893.5732,timeline,1,-1,29430,22.0,0.0,23.0,0.161,,,,,,,73350.542131,73351.469047,73351.489156,73351.489156,73351.489169
1789039893.5727,timeline,2,-1,29431,22.0,0.0,23.0,0.112,,,,,,,73350.542532,73351.467494,73351.488657,73351.488657,73351.488672
1789039893.5729,timeline,3,-1,29432,22.0,0.0,23.0,836.791,,,,,,,73351.37781,73351.466877,73351.488829,73351.488829,73351.488849
1789039894.5599,timeline,0,-1,29429,23.0,0.0,24.0,0.134,,,,,,,73351.488609,73352.206293,73352.475776,73352.475776,73352.475787
1789039894.5392,timeline,1,-1,29430,23.0,0.0,24.0,0.112,,,,,,,73351.489561,73352.207492,73352.455145,73352.455145,73352.455159
1789039894.5553,timeline,3,-1,29432,23.0,0.0,24.0,605.325,,,,,,,73352.094469,73352.206045,73352.471247,73352.471247,73352.471257
1789039894.5398,timeline,2,-1,29431,23.0,0.0,24.0,627.409,,,,,,,73352.116327,73352.206195,73352.455745,73352.455745,73352.455762
1789039895.8671,timeline,1,-1,29430,24.0,0.0,25.0,0.088,,,,,,,73352.45553,73353.762013,73353.783029,73353.783029,73353.783043
1789039895.8664,timeline,0,-1,29429,24.0,0.0,25.0,0.117,,,,,,,73352.476289,73353.760642,73353.782327,73353.782327,73353.782347
1789039895.866,timeline,2,-1,29431,24.0,0.0,25.0,680.3,,,,,,,73353.136292,73353.759794,73353.781944,73353.781944,73353.781964
1789039895.8643,timeline,3,-1,29432,24.0,0.0,25.0,1197.762,,,,,,,73353.669252,73353.75835,73353.780215,73353.780215,73353.78023
1789039897.3313,timeline,0,-1,29429,25.0,0.0,26.0,0.147,,,,,,,73353.782786,73355.225791,73355.247239,73355.247239,73355.247252
1789039897.3423,timeline,1,-1,29430,25.0,0.0,26.0,0.115,,,,,,,73353.783438,73355.227348,73355.258224,73355.258224,73355.258241
1789039897.3373,timeline,2,-1,29431,25.0,0.0,26.0,313.087,,,,,,,73354.095312,73355.231345,73355.253168,73355.253168,73355.253194
1789039897.33,timeline,3,-1,29432,25.0,0.0,26.0,1334.949,,,,,,,73355.115419,73355.225789,73355.245931,73355.245931,73355.245947
1789039897.7484,timeline,0,-1,29429,26.0,0.0,27.0,0.133,,,,,,,73355.247538,73355.418979,73355.664334,73355.664334,73355.664346
1789039897.7516,timeline,2,-1,29431,26.0,0.0,27.0,0.139,,,,,,,73355.253698,73355.418601,73355.667559,73355.667559,73355.667576
1789039897.7591,timeline,1,-1,29430,26.0,0.0,27.0,0.114,,,,,,,73355.258647,73355.420533,73355.675027,73355.675027,73355.675041
1789039897.7776,timeline,3,-1,29432,26.0,0.0,27.0,83.187,,,,,,,73355.329337,73355.418959,73355.693523,73355.693523,73355.693536
1789039900.0884,timeline,0,-1,29429,27.0,0.0,28.0,0.163,,,,,,,73355.664881,73357.983266,73358.004328,73358.004328,73358.004342
1789039900.0845,timeline,1,-1,29430,27.0,0.0,28.0,0.1,,,,,,,73355.675457,73357.97966,73358.000431,73358.000431,73358.000445
1789039900.0831,timeline,2,-1,29431,27.0,0.0,28.0,1349.404,,,,,,,73357.017266,73357.977966,73357.999048,73357.999048,73357.999065
1789039900.0815,timeline,3,-1,29432,27.0,0.0,28.0,2171.882,,,,,,,73357.865841,73357.977795,73357.997384,73357.997384,73357.997405
1789039900.2641,timeline,3,-1,29432,28.0,0.0,29.0,0.103,,,,,,,73357.997771,73358.159573,73358.180044,73358.180044,73358.180062
1789039900.265,timeline,2,-1,29431,28.0,0.0,29.0,0.11,,,,,,,73357.999483,73358.159023,73358.180934,73358.180934,73358.180951
1789039900.2651,timeline,1,-1,29430,28.0,0.0,29.0,0.103,,,,,,,73358.000814,73358.160913,73358.181049,73358.181049,73358.181068
1789039900.264,timeline,0,-1,29429,28.0,0.0,29.0,0.133,,,,,,,73358.004844,73358.158645,73358.179883,73358.179883,73358.179894
1789039902.7907,timeline,0,-1,29429,29.0,0.0,30.0,0.138,,,,,,,73358.180165,73360.438544,73360.706602,73360.706602,73360.706612
1789039902.7729,timeline,1,-1,29430,29.0,0.0,30.0,0.126,,,,,,,73358.181364,73360.44119,73360.68881,73360.68881,73360.688828
1789039902.773,timeline,2,-1,29431,29.0,0.0,30.0,1498.914,,,,,,,73359.680118,73360.439851,73360.688901,73360.688901,73360.688915
1789039902.7767,timeline,3,-1,29432,29.0,0.0,30.0,2169.21,,,,,,,73360.349534,73360.439892,73360.692579,73360.692579,73360.69259
1789039903.0183,timeline,1,-1,29430,30.0,0.0,31.0,0.093,,,,,,,73360.689245,73360.913902,73360.934193,73360.934193,73360.934207
1789039903.0178,timeline,2,-1,29431,30.0,0.0,31.0,0.095,,,,,,,73360.689329,73360.912578,73360.933729,73360.933729,73360.933743
1789039903.016,timeline,0,-1,29429,30.0,0.0,31.0,0.116,,,,,,,73360.706991,73360.911135,73360.931962,73360.931962,73360.931972
1789039903.0178,timeline,3,-1,29432,30.0,0.0,31.0,129.284,,,,,,,73360.82211,73360.912395,73360.933672,73360.933672,73360.933692
1789039905.2383,timeline,0,-1,29429,31.0,0.0,32.0,0.122,,,,,,,73360.932299,73363.132965,73363.154193,73363.154193,73363.154207
1789039905.2399,timeline,1,-1,29430,31.0,0.0,32.0,0.112,,,,,,,73360.934619,73363.134781,73363.155823,73363.155823,73363.155844
1789039905.2385,timeline,2,-1,29431,31.0,0.0,32.0,662.844,,,,,,,73361.596884,73363.133229,73363.154437,73363.154437,73363.154454
1789039905.2428,timeline,3,-1,29432,31.0,0.0,32.0,2101.491,,,,,,,73363.035518,73363.138418,73363.158693,73363.158693,73363.158706
1789039905.6474,timeline,2,-1,29431,32.0,0.0,33.0,0.113,,,,,,,73363.15493,73363.315433,73363.563286,73363.563286,73363.563301
1789039905.6473,timeline,0,-1,29429,32.0,0.0,33.0,0.148,,,,,,,73363.155014,73363.31443,73363.563266,73363.563266,73363.563276
1789039905.642,timeline,1,-1,29430,32.0,0.0,33.0,0.145,,,,,,,73363.156307,73363.317111,73363.557945,73363.557945,73363.557958
1789039905.6478,timeline,3,-1,29432,32.0,0.0,33.0,0.106,,,,,,,73363.159068,73363.314574,73363.563666,73363.563666,73363.563678
1789039907.633,timeline,1,-1,29430,33.0,0.0,34.0,0.124,,,,,,,73363.558461,73365.528565,73365.548926,73365.548926,73365.54894
1789039907.6327,timeline,0,-1,29429,33.0,0.0,34.0,0.115,,,,,,,73363.563633,73365.527236,73365.548643,73365.548643,73365.548657
1789039907.6319,timeline,2,-1,29431,33.0,0.0,34.0,1064.629,,,,,,,73364.628178,73365.525906,73365.547786,73365.547786,73365.547808
1789039907.6298,timeline,3,-1,29432,33.0,0.0,34.0,1872.03,,,,,,,73365.435955,73365.525175,73365.545751,73365.545751,73365.545766
1789039908.2688,timeline,2,-1,29431,34.0,0.0,35.0,0.135,,,,,,,73365.548291,73366.16363,73366.18474,73366.18474,73366.184754
1789039908.266,timeline,0,-1,29429,34.0,0.0,35.0,0.132,,,,,,,73365.549054,73366.160946,73366.181864,73366.181864,73366.181878
1789039908.2697,timeline,1,-1,29430,34.0,0.0,35.0,0.109,,,,,,,73365.549333,73366.165249,73366.185603,73366.185603,73366.185623
1789039908.2716,timeline,3,-1,29432,34.0,0.0,35.0,526.75,,,,,,,73366.072907,73366.163418,73366.187521,73366.187521,73366.187537
1789039910.2484,timeline,0,-1,29429,35.0,0.0,36.0,0.121,,,,,,,73366.182134,73367.885859,73368.164326,73368.164326,73368.164341
1789039910.2084,timeline,1,-1,29430,35.0,0.0,36.0,0.118,,,,,,,73366.186153,73367.886262,73368.124331,73368.124331,73368.124345
1789039910.2225,timeline,2,-1,29431,35.0,0.0,36.0,755.817,,,,,,,73366.940798,73367.885567,73368.138443,73368.138443,73368.13846
1789039910.2412,timeline,3,-1,29432,35.0,0.0,36.0,1606.752,,,,,,,73367.794677,73367.88406,73368.157095,73368.157095,73368.157105
1789039910.636,timeline,1,-1,29430,36.0,0.0,37.0,0.091,,,,,,,73368.124717,73368.531684,73368.551912,73368.551912,73368.551929
1789039910.6349,timeline,2,-1,29431,36.0,0.0,37.0,0.115,,,,,,,73368.138762,73368.5293,73368.550786,73368.550786,73368.550805
1789039910.635,timeline,0,-1,29429,36.0,0.0,37.0,0.128,,,,,,,73368.164739,73368.529311,73368.550894,73368.550894,73368.550909
1789039910.6338,timeline,3,-1,29432,36.0,0.0,37.0,282.091,,,,,,,73368.439389,73368.529203,73368.549672,73368.549672,73368.549691
1789039912.2219,timeline,0,-1,29429,37.0,0.0,38.0,0.14,,,,,,,73368.55119,73370.116391,73370.137851,73370.137851,73370.137865
1789039912.2206,timeline,1,-1,29430,37.0,0.0,38.0,0.113,,,,,,,73368.552219,73370.115918,73370.13649,73370.13649,73370.136505
1789039912.222,timeline,2,-1,29431,37.0,0.0,38.0,478.838,,,,,,,73369.029883,73370.117066,73370.137872,73370.137872,73370.137889
1789039912.2187,timeline,3,-1,29432,37.0,0.0,38.0,1475.273,,,,,,,73370.025183,73370.11409,73370.134572,73370.134572,73370.134591
