t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end,wid
1789041136.8117,sample,3,0,30301,,,,,4958.0,256.492,18.635,True,,,,,,,,3/w0
1789041137.0487,sample,3,0,30301,,,,,1550.0,236.919,15.272,True,,,,,,,,3/w0
1789041137.6116,sample,3,0,30301,,,,,3004.0,459.302,122.584,True,,,,,,,,3/w0
1789041138.2121,sample,3,0,30301,,,,,1118.0,600.415,60.13,True,,,,,,,,3/w0
1789041138.5759,sample,3,0,30301,,,,,524.0,363.739,29.125,True,,,,,,,,3/w0
1789041138.9495,sample,3,0,30301,,,,,1460.0,373.448,25.785,True,,,,,,,,3/w0
1789041139.2453,sample,3,0,30301,,,,,3948.0,295.771,20.144,True,,,,,,,,3/w0
1789041139.4839,sample,3,0,30301,,,,,1066.0,238.502,13.223,True,,,,,,,,3/w0
1789041140.2248,sample,3,0,30301,,,,,952.0,635.643,130.554,True,,,,,,,,3/w0
1789041140.5919,sample,3,0,30301,,,,,796.0,366.95,50.782,True,,,,,,,,3/w0
1789041140.9832,sample,3,0,30301,,,,,501.0,391.218,65.629,True,,,,,,,,3/w0
1789041141.3006,sample,3,0,30301,,,,,1056.0,317.255,26.515,True,,,,,,,,3/w0
1789041141.8265,sample,3,0,30301,,,,,1608.0,427.315,110.582,True,,,,,,,,3/w0
1789041142.3707,sample,3,0,30301,,,,,1067.0,544.094,53.404,True,,,,,,,,3/w0
1789041142.725,sample,3,0,30301,,,,,1326.0,354.118,37.848,True,,,,,,,,3/w0
1789041143.1851,sample,3,0,30301,,,,,4894.0,460.011,26.644,True,,,,,,,,3/w0
1789041143.5124,sample,3,0,30301,,,,,4498.0,327.284,21.248,True,,,,,,,,3/w0
1789041143.9877,sample,3,0,30301,,,,,1415.0,368.091,102.203,True,,,,,,,,3/w0
1789041144.4962,sample,3,0,30301,,,,,1774.0,508.346,57.452,True,,,,,,,,3/w0
1789041144.9422,sample,3,0,30301,,,,,2905.0,445.892,35.061,True,,,,,,,,3/w0
1789041145.2645,sample,3,0,30301,,,,,380.0,322.248,24.574,True,,,,,,,,3/w0
1789041145.5133,sample,3,0,30301,,,,,3758.0,248.703,23.124,True,,,,,,,,3/w0
1789041145.799,sample,3,0,30301,,,,,3041.0,285.634,17.758,True,,,,,,,,3/w0
1789041146.155,sample,3,0,30301,,,,,911.0,265.131,113.125,True,,,,,,,,3/w0
1789041146.7461,sample,3,0,30301,,,,,1878.0,591.004,63.596,True,,,,,,,,3/w0
1789041147.046,sample,3,0,30301,,,,,4205.0,299.849,28.928,True,,,,,,,,3/w0
1789041147.2687,sample,3,0,30301,,,,,2433.0,222.58,35.015,True,,,,,,,,3/w0
1789041147.4877,sample,3,0,30301,,,,,1144.0,218.976,18.582,True,,,,,,,,3/w0
1789041147.837,sample,3,0,30301,,,,,4126.0,260.254,103.656,True,,,,,,,,3/w0
1789041148.1139,sample,3,0,30301,,,,,3590.0,276.856,58.246,True,,,,,,,,3/w0
1789041148.5434,sample,3,0,30301,,,,,24.0,429.358,33.354,True,,,,,,,,3/w0
1789041148.8103,sample,3,0,30301,,,,,4594.0,266.837,24.154,True,,,,,,,,3/w0
1789041149.172,sample,3,0,30301,,,,,2972.0,361.636,19.527,True,,,,,,,,3/w0
1789041149.6853,sample,3,0,30301,,,,,812.0,405.072,105.371,True,,,,,,,,3/w0
1789041150.1237,sample,3,0,30301,,,,,631.0,438.317,58.586,True,,,,,,,,3/w0
1789041150.4459,sample,3,0,30301,,,,,4302.0,322.027,39.92,True,,,,,,,,3/w0
1789041150.8629,sample,3,0,30301,,,,,4970.0,416.925,22.585,True,,,,,,,,3/w0
1789041151.0905,sample,3,0,30301,,,,,1316.0,227.542,16.849,True,,,,,,,,3/w0
1789041151.63,sample,3,0,30301,,,,,4332.0,444.601,117.089,True,,,,,,,,3/w0
1789041152.0406,sample,3,0,30301,,,,,1284.0,410.474,56.974,True,,,,,,,,3/w0
1789041152.5233,sample,3,0,30301,,,,,1054.0,482.556,43.841,True,,,,,,,,3/w0
1789041152.8358,sample,3,0,30301,,,,,4636.0,312.417,24.549,True,,,,,,,,3/w0
1789041153.1928,sample,3,0,30301,,,,,4971.0,356.96,22.026,True,,,,,,,,3/w0
1789041153.5478,sample,3,0,30301,,,,,228.0,354.85,11.611,True,,,,,,,,3/w0
1789041154.0787,sample,3,0,30301,,,,,360.0,435.085,99.267,True,,,,,,,,3/w0
1789041154.3091,sample,3,0,30301,,,,,243.0,230.294,50.559,True,,,,,,,,3/w0
1789041154.6158,sample,3,0,30301,,,,,4835.0,306.634,30.535,True,,,,,,,,3/w0
1789041154.9194,sample,3,0,30301,,,,,628.0,303.531,31.934,True,,,,,,,,3/w0
1789041155.4309,sample,3,0,30301,,,,,1500.0,511.424,22.558,True,,,,,,,,3/w0
1789041155.6555,sample,3,0,30301,,,,,1584.0,224.532,20.425,True,,,,,,,,3/w0
1789041155.891,sample,3,0,30301,,,,,3146.0,235.34,14.759,True,,,,,,,,3/w0
1789041156.4594,sample,3,0,30301,,,,,1677.0,473.931,96.961,True,,,,,,,,3/w0
1789041156.7982,sample,3,0,30301,,,,,1145.0,338.704,38.26,True,,,,,,,,3/w0
1789041157.1517,sample,3,0,30301,,,,,3801.0,353.357,31.007,True,,,,,,,,3/w0
1789041157.6103,sample,3,0,30301,,,,,800.0,458.571,26.59,True,,,,,,,,3/w0
1789041158.0423,sample,3,0,30301,,,,,1865.0,431.863,22.356,True,,,,,,,,3/w0
1789041158.3894,sample,3,0,30301,,,,,1562.0,347.009,20.262,True,,,,,,,,3/w0
1789041158.6857,sample,3,0,30301,,,,,2528.0,296.238,21.289,True,,,,,,,,3/w0
1789041158.9963,sample,3,0,30301,,,,,3180.0,310.533,17.814,True,,,,,,,,3/w0
1789041159.4283,sample,3,0,30301,,,,,2710.0,431.841,10.629,True,,,,,,,,3/w0
1789041159.9199,sample,3,0,30301,,,,,3699.0,398.692,105.466,True,,,,,,,,3/w0
1789041160.3903,sample,3,0,30301,,,,,914.0,470.277,56.26,True,,,,,,,,3/w0
1789041160.6617,sample,3,0,30301,,,,,2554.0,271.37,32.348,True,,,,,,,,3/w0
1789041160.951,sample,3,0,30301,,,,,4731.0,289.152,26.773,True,,,,,,,,3/w0
1789041161.3092,sample,3,0,30301,,,,,4554.0,358.191,15.205,True,,,,,,,,3/w0
1789041161.9866,sample,3,0,30301,,,,,4155.0,581.185,104.556,True,,,,,,,,3/w0
1789041162.4513,sample,3,0,30301,,,,,3320.0,464.664,56.896,True,,,,,,,,3/w0
1789041162.8207,sample,3,0,30301,,,,,3825.0,369.249,40.73,True,,,,,,,,3/w0
1789041163.0976,sample,3,0,30301,,,,,1713.0,276.898,22.413,True,,,,,,,,3/w0
1789041163.3539,sample,3,0,30301,,,,,1186.0,256.203,19.961,True,,,,,,,,3/w0
1789041164.1298,sample,3,0,30301,,,,,784.0,678.796,127.915,True,,,,,,,,3/w0
1789041164.5581,sample,3,0,30301,,,,,662.0,428.203,48.272,True,,,,,,,,3/w0
1789041164.8968,sample,3,0,30301,,,,,2411.0,338.649,37.121,True,,,,,,,,3/w0
1789041165.1984,sample,3,0,30301,,,,,2759.0,301.411,22.527,True,,,,,,,,3/w0
1789041165.4435,sample,3,0,30301,,,,,4055.0,245.054,22.288,True,,,,,,,,3/w0
1789041165.6625,sample,3,0,30301,,,,,3121.0,218.896,17.457,True,,,,,,,,3/w0
1789041166.3811,sample,3,0,30301,,,,,2833.0,614.117,101.816,True,,,,,,,,3/w0
1789041166.8075,sample,3,0,30301,,,,,4911.0,426.31,49.171,True,,,,,,,,3/w0
1789041167.1434,sample,3,0,30301,,,,,4562.0,335.818,33.304,True,,,,,,,,3/w0
1789041167.4044,sample,3,0,30301,,,,,922.0,260.949,27.733,True,,,,,,,,3/w0
1789041167.6783,sample,3,0,30301,,,,,4610.0,273.846,24.178,True,,,,,,,,3/w0
1789041167.9872,sample,3,0,30301,,,,,3848.0,308.772,20.834,True,,,,,,,,3/w0
1789041168.6062,sample,3,0,30301,,,,,2966.0,618.916,7.822,True,,,,,,,,3/w0
1789041169.0592,sample,3,0,30301,,,,,2751.0,376.822,113.964,True,,,,,,,,3/w0
1789041169.4732,sample,3,0,30301,,,,,3277.0,413.897,50.258,True,,,,,,,,3/w0
1789041169.7849,sample,3,0,30301,,,,,4643.0,311.574,30.659,True,,,,,,,,3/w0
1789041170.1388,sample,3,0,30301,,,,,2068.0,353.895,26.652,True,,,,,,,,3/w0
1789041170.6215,sample,3,0,30301,,,,,2500.0,482.55,24.424,True,,,,,,,,3/w0
1789041170.8979,sample,3,0,30301,,,,,1536.0,276.314,21.351,True,,,,,,,,3/w0
1789041171.0852,sample,3,0,30301,,,,,364.0,187.252,12.182,True,,,,,,,,3/w0
1789041171.4005,sample,3,0,30301,,,,,2297.0,315.208,11.427,True,,,,,,,,3/w0
