global_step,epoch,epoch_frac,train/loss,train/accept_len,train/accept_rate
239,0,0.008268,0.344,1.572,0.24
240,0,0.008302,0.35,1.618,0.262
241,0,0.008337,0.344,1.563,0.243
242,0,0.008371,0.369,1.315,0.163
243,0,0.008406,0.344,1.526,0.225
244,0,0.008441,0.334,1.708,0.27
245,0,0.008475,0.35,1.594,0.225
246,0,0.008510,0.345,1.614,0.249
247,0,0.008544,0.358,1.489,0.201
248,0,0.008579,0.344,1.595,0.234
249,0,0.008614,0.35,1.543,0.218
250,0,0.008648,0.347,1.596,0.235
251,0,0.008683,0.341,1.759,0.269
252,0,0.008717,0.353,1.601,0.248
253,0,0.008752,0.333,1.773,0.273
254,0,0.008786,0.333,1.693,0.259
255,0,0.008821,0.334,1.716,0.268
256,0,0.008856,0.369,1.362,0.173
257,0,0.008890,0.352,1.575,0.222
258,0,0.008925,0.35,1.677,0.253
259,0,0.008959,0.338,1.752,0.27
260,0,0.008994,0.35,1.627,0.234
261,0,0.009029,0.362,1.435,0.181
262,0,0.009063,0.35,1.59,0.216
263,0,0.009098,0.336,1.672,0.244
264,0,0.009132,0.338,1.704,0.257
265,0,0.009167,0.341,1.688,0.232
266,0,0.009202,0.339,1.777,0.265
267,0,0.009236,0.345,1.698,0.256
268,0,0.009271,0.359,1.517,0.2
269,0,0.009305,0.347,1.718,0.239
270,0,0.009340,0.348,1.723,0.25
271,0,0.009375,0.353,1.582,0.221
272,0,0.009409,0.331,1.771,0.251
273,0,0.009444,0.347,1.601,0.209
274,0,0.009478,0.344,1.722,0.238
275,0,0.009513,0.331,1.855,0.258
276,0,0.009548,0.353,1.573,0.206
277,0,0.009582,0.339,1.778,0.262
278,0,0.009617,0.344,1.708,0.23
279,0,0.009651,0.316,1.991,0.305
280,0,0.009686,0.336,1.779,0.253
281,0,0.009720,0.322,1.942,0.308
282,0,0.009755,0.328,1.876,0.282
283,0,0.009790,0.328,1.828,0.286
284,0,0.009824,0.334,1.715,0.239
285,0,0.009859,0.32,1.929,0.293
286,0,0.009893,0.344,1.659,0.227
287,0,0.009928,0.333,1.77,0.254
288,0,0.009963,0.325,1.905,0.279
289,0,0.009997,0.341,1.684,0.235
290,0,0.010032,0.356,1.474,0.186
291,0,0.010066,0.308,2.83,0.397
