t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789036465.0738,timeline,1,-1,21670,31.0,0.0,32.0,0.106,,,,,69922.760214,69922.968604,69922.989743,69922.989743,69922.989761
1789036465.0741,timeline,2,-1,21671,31.0,0.0,32.0,0.135,,,,,69922.761626,69922.969427,69922.989993,69922.989993,69922.990008
1789036465.0804,timeline,0,-1,21669,31.0,0.0,32.0,0.229,,,,,69922.764274,69922.973533,69922.996298,69922.996298,69922.996325
1789036465.0775,timeline,3,-1,21672,31.0,0.0,32.0,115.568,,,,,69922.882334,69922.970193,69922.993454,69922.993454,69922.993469
1789036467.702,timeline,1,-1,21670,32.0,0.0,33.0,0.114,,,,,69922.990158,69925.364998,69925.617907,69925.617907,69925.617922
1789036467.7426,timeline,0,-1,21669,32.0,0.0,33.0,0.233,,,,,69922.997091,69925.365515,69925.658487,69925.658487,69925.6585
1789036467.714,timeline,2,-1,21671,32.0,0.0,33.0,875.108,,,,,69923.865338,69925.365037,69925.62993,69925.62993,69925.629943
1789036467.6949,timeline,3,-1,21672,32.0,0.0,33.0,2283.509,,,,,69925.277198,69925.365174,69925.610796,69925.610796,69925.61081
1789036468.1213,timeline,1,-1,21670,33.0,0.0,34.0,0.154,,,,,69925.618255,69926.017323,69926.037163,69926.037163,69926.037178
1789036468.122,timeline,2,-1,21671,33.0,0.0,34.0,0.094,,,,,69925.630327,69926.016929,69926.0379,69926.0379,69926.037915
1789036468.1257,timeline,0,-1,21669,33.0,0.0,34.0,0.145,,,,,69925.659142,69926.020094,69926.041605,69926.041605,69926.041621
1789036468.1228,timeline,3,-1,21672,33.0,0.0,34.0,318.827,,,,,69925.930003,69926.018944,69926.038693,69926.038693,69926.038708
1789036469.7965,timeline,1,-1,21670,34.0,0.0,35.0,0.103,,,,,69926.037422,69927.692088,69927.71238,69927.71238,69927.712399
1789036469.7992,timeline,0,-1,21669,34.0,0.0,35.0,0.159,,,,,69926.042147,69927.692626,69927.71515,69927.71515,69927.715172
1789036469.7991,timeline,2,-1,21671,34.0,0.0,35.0,341.14,,,,,69926.379253,69927.69434,69927.71503,69927.71503,69927.715048
1789036469.7967,timeline,3,-1,21672,34.0,0.0,35.0,1565.251,,,,,69927.604185,69927.691623,69927.712573,69927.712573,69927.71259
1789036470.8111,timeline,1,-1,21670,35.0,0.0,36.0,0.113,,,,,69927.712791,69928.48216,69928.726991,69928.726991,69928.727005
1789036470.8435,timeline,0,-1,21669,35.0,0.0,36.0,0.297,,,,,69927.715919,69928.486778,69928.75931,69928.75931,69928.759363
1789036470.8238,timeline,2,-1,21671,35.0,0.0,36.0,92.653,,,,,69927.8084,69928.482594,69928.739698,69928.739698,69928.739713
1789036470.8165,timeline,3,-1,21672,35.0,0.0,36.0,677.304,,,,,69928.390133,69928.484082,69928.732376,69928.732376,69928.732389
1789036471.9832,timeline,1,-1,21670,36.0,0.0,37.0,0.1,,,,,69928.727401,69929.879324,69929.899114,69929.899114,69929.899128
1789036471.9844,timeline,2,-1,21671,36.0,0.0,37.0,0.086,,,,,69928.739949,69929.879194,69929.900354,69929.900354,69929.900371
1789036472.0114,timeline,0,-1,21669,36.0,0.0,37.0,0.65,,,,,69928.760539,69929.905711,69929.927302,69929.927302,69929.927317
1789036471.9909,timeline,3,-1,21672,36.0,0.0,37.0,1049.027,,,,,69929.781659,69929.88559,69929.906789,69929.906789,69929.906821
1789036472.8939,timeline,1,-1,21670,37.0,0.0,38.0,0.093,,,,,69929.899481,69930.790617,69930.809838,69930.809838,69930.809852
1789036472.8971,timeline,0,-1,21669,37.0,0.0,38.0,0.172,,,,,69929.927865,69930.791154,69930.813012,69930.813012,69930.813027
1789036472.8951,timeline,2,-1,21671,37.0,0.0,38.0,248.216,,,,,69930.148994,69930.790417,69930.81105,69930.81105,69930.811067
1789036472.8973,timeline,3,-1,21672,37.0,0.0,38.0,796.037,,,,,69930.703122,69930.790761,69930.813243,69930.813243,69930.813262
1789036474.4159,timeline,1,-1,21670,38.0,0.0,39.0,0.093,,,,,69930.810179,69932.091588,69932.331793,69932.331793,69932.331803
