t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789036739.4155,collate,3,1,22075,,,,,6.0,1.0,24.125,24.088,,,,,
1789036741.6167,collate,3,1,22075,,,,,6.0,1.0,32.553,32.475,,,,,
1789036744.5089,collate,3,1,22075,,,,,7.0,1.0,42.566,42.513,,,,,
1789036747.4627,collate,3,1,22075,,,,,7.0,1.0,37.474,37.42,,,,,
1789036750.0048,collate,3,1,22075,,,,,6.0,1.0,40.522,40.446,,,,,
1789036752.2635,collate,3,1,22075,,,,,6.0,1.0,36.783,36.708,,,,,
1789036754.4454,collate,3,1,22075,,,,,5.0,1.0,46.358,46.284,,,,,
1789036757.0637,collate,3,1,22075,,,,,6.0,1.0,35.477,35.413,,,,,
1789036759.9833,collate,3,1,22075,,,,,7.0,1.0,119.879,119.621,,,,,
1789036762.1159,collate,3,1,22075,,,,,5.0,1.0,41.349,41.281,,,,,
1789036764.6195,collate,3,1,22075,,,,,7.0,1.0,31.053,31.021,,,,,
1789036767.577,collate,3,1,22075,,,,,8.0,1.0,34.076,34.011,,,,,
1789036769.7506,collate,3,1,22075,,,,,5.0,1.0,75.829,75.722,,,,,
1789036772.1569,collate,3,1,22075,,,,,6.0,1.0,76.022,75.922,,,,,
1789036774.1508,collate,3,1,22075,,,,,5.0,1.0,115.318,115.14,,,,,
1789036776.3037,collate,3,1,22075,,,,,6.0,1.0,22.079,22.041,,,,,
1789036779.0355,collate,3,1,22075,,,,,7.0,1.0,35.802,35.747,,,,,
1789036781.8698,collate,3,1,22075,,,,,6.0,1.0,30.595,30.537,,,,,
1789036784.1651,collate,3,1,22075,,,,,6.0,1.0,33.375,33.29,,,,,
1789036786.569,collate,3,1,22075,,,,,5.0,1.0,180.613,180.098,,,,,
1789036789.1874,collate,3,1,22075,,,,,6.0,1.0,34.437,34.372,,,,,
1789036791.617,collate,3,1,22075,,,,,6.0,1.0,32.309,32.214,,,,,
1789036794.1468,collate,3,1,22075,,,,,7.0,1.0,33.806,33.757,,,,,
1789036796.3588,collate,3,1,22075,,,,,5.0,1.0,36.359,36.309,,,,,
1789036798.711,collate,3,1,22075,,,,,7.0,1.0,54.004,53.921,,,,,
1789036801.477,collate,3,1,22075,,,,,7.0,1.0,53.98,53.859,,,,,
1789036803.3524,collate,3,1,22075,,,,,5.0,1.0,35.747,35.7,,,,,
1789036805.6323,collate,3,1,22075,,,,,5.0,1.0,71.807,71.667,,,,,
1789036808.4785,collate,3,1,22075,,,,,6.0,1.0,32.978,32.929,,,,,
1789036811.3023,collate,3,1,22075,,,,,7.0,1.0,37.436,37.361,,,,,
1789036813.1862,collate,3,1,22075,,,,,4.0,1.0,32.725,32.673,,,,,
1789036815.7365,collate,3,1,22075,,,,,6.0,1.0,53.779,53.669,,,,,
1789036818.4666,collate,3,1,22075,,,,,7.0,1.0,34.043,33.994,,,,,
1789036820.4913,collate,3,1,22075,,,,,5.0,1.0,41.641,41.547,,,,,
1789036822.5794,collate,3,1,22075,,,,,4.0,1.0,41.922,41.879,,,,,
1789036824.3415,collate,3,1,22075,,,,,4.0,1.0,70.427,70.29,,,,,
1789036827.5781,collate,3,1,22075,,,,,7.0,1.0,44.421,44.349,,,,,
1789036830.3939,collate,3,1,22075,,,,,7.0,1.0,163.44,163.133,,,,,
1789036832.2566,collate,3,1,22075,,,,,5.0,1.0,35.593,35.513,,,,,
1789036834.2168,collate,3,1,22075,,,,,4.0,1.0,35.491,35.366,,,,,
1789036836.163,collate,3,1,22075,,,,,5.0,1.0,42.984,42.826,,,,,
1789036838.6504,collate,3,1,22075,,,,,5.0,1.0,66.688,66.559,,,,,
1789036842.6128,collate,3,1,22075,,,,,8.0,1.0,129.26,129.055,,,,,
1789036845.3776,collate,3,1,22075,,,,,7.0,1.0,42.738,42.654,,,,,
1789036847.6069,collate,3,1,22075,,,,,5.0,1.0,36.454,36.389,,,,,
1789036849.7088,collate,3,1,22075,,,,,5.0,1.0,35.491,35.44,,,,,
1789036852.6899,collate,3,1,22075,,,,,7.0,1.0,28.998,28.965,,,,,
1789036855.3806,collate,3,1,22075,,,,,7.0,1.0,63.116,62.984,,,,,
1789036857.9047,collate,3,1,22075,,,,,5.0,1.0,183.859,183.59,,,,,
1789036860.5075,collate,3,1,22075,,,,,7.0,1.0,33.168,33.13,,,,,
1789036862.9285,collate,3,1,22075,,,,,6.0,1.0,101.874,101.693,,,,,
1789036865.3482,collate,3,1,22075,,,,,6.0,1.0,34.281,34.201,,,,,
1789036867.8389,collate,3,1,22075,,,,,6.0,1.0,26.506,26.459,,,,,
1789036870.5481,collate,3,1,22075,,,,,6.0,1.0,32.209,32.111,,,,,
1789036872.6856,collate,3,1,22075,,,,,5.0,1.0,34.25,34.2,,,,,
1789036875.6851,collate,3,1,22075,,,,,7.0,1.0,53.102,52.999,,,,,
1789036878.2417,collate,3,1,22075,,,,,7.0,1.0,37.84,37.782,,,,,
1789036880.8378,collate,3,1,22075,,,,,7.0,1.0,83.448,83.295,,,,,
1789036882.8532,collate,3,1,22075,,,,,5.0,1.0,20.038,20.015,,,,,
1789036885.8638,collate,3,1,22075,,,,,7.0,1.0,35.048,34.937,,,,,
1789036888.3719,collate,3,1,22075,,,,,6.0,1.0,31.921,31.795,,,,,
1789036890.6119,collate,3,1,22075,,,,,5.0,1.0,48.895,48.783,,,,,
1789036893.2956,collate,3,1,22075,,,,,7.0,1.0,83.794,83.64,,,,,
1789036895.8117,collate,3,1,22075,,,,,7.0,1.0,37.849,37.769,,,,,
1789036898.6206,collate,3,1,22075,,,,,7.0,1.0,33.886,33.837,,,,,
1789036900.4486,collate,3,1,22075,,,,,4.0,1.0,30.994,30.938,,,,,
1789036903.0754,collate,3,1,22075,,,,,7.0,1.0,78.057,77.918,,,,,
1789036905.3642,collate,3,1,22075,,,,,4.0,1.0,163.795,163.426,,,,,
1789036908.9268,collate,3,1,22075,,,,,8.0,1.0,48.381,48.215,,,,,
1789036911.0831,collate,3,1,22075,,,,,5.0,1.0,39.313,39.261,,,,,
1789036913.034,collate,3,1,22075,,,,,5.0,1.0,63.52,63.415,,,,,
1789036916.0949,collate,3,1,22075,,,,,8.0,1.0,43.437,43.325,,,,,
1789036917.9341,collate,3,1,22075,,,,,5.0,1.0,50.079,49.996,,,,,
1789036921.0468,collate,3,1,22075,,,,,7.0,1.0,32.356,32.302,,,,,
1789036923.3128,collate,3,1,22075,,,,,5.0,1.0,34.649,34.598,,,,,
1789036926.3247,collate,3,1,22075,,,,,8.0,1.0,43.977,43.912,,,,,
1789036928.6477,collate,3,1,22075,,,,,5.0,1.0,50.364,50.302,,,,,
1789036931.5511,collate,3,1,22075,,,,,7.0,1.0,41.301,41.219,,,,,
1789036933.8669,collate,3,1,22075,,,,,6.0,1.0,33.805,33.775,,,,,
1789036935.4501,collate,3,1,22075,,,,,3.0,1.0,45.342,45.28,,,,,
1789036937.4026,collate,3,1,22075,,,,,5.0,1.0,31.933,31.881,,,,,
1789036939.5778,collate,3,1,22075,,,,,5.0,1.0,43.362,43.298,,,,,
1789036942.1601,collate,3,1,22075,,,,,6.0,1.0,135.348,135.092,,,,,
1789036944.1442,collate,3,1,22075,,,,,3.0,1.0,37.588,37.521,,,,,
1789036946.748,collate,3,1,22075,,,,,7.0,1.0,33.756,33.714,,,,,
1789036949.2332,collate,3,1,22075,,,,,6.0,1.0,26.637,26.548,,,,,
1789036951.8984,collate,3,1,22075,,,,,7.0,1.0,20.244,20.219,,,,,
1789036954.1831,collate,3,1,22075,,,,,5.0,1.0,37.159,37.091,,,,,
1789036956.8476,collate,3,1,22075,,,,,7.0,1.0,41.366,41.292,,,,,
1789036959.1863,collate,3,1,22075,,,,,6.0,1.0,33.737,33.697,,,,,
1789036962.0199,collate,3,1,22075,,,,,7.0,1.0,32.21,32.163,,,,,
1789036964.1769,collate,3,1,22075,,,,,6.0,1.0,33.23,33.184,,,,,
1789036966.2563,collate,3,1,22075,,,,,5.0,1.0,65.717,65.501,,,,,
1789036968.6237,collate,3,1,22075,,,,,5.0,1.0,88.633,88.446,,,,,
1789036971.4297,collate,3,1,22075,,,,,7.0,1.0,51.017,50.943,,,,,
1789036973.7778,collate,3,1,22075,,,,,5.0,1.0,22.134,22.113,,,,,
1789036975.8145,collate,3,1,22075,,,,,5.0,1.0,31.425,31.367,,,,,
1789036978.9012,collate,3,1,22075,,,,,8.0,1.0,34.386,34.317,,,,,
1789036981.8626,collate,3,1,22075,,,,,7.0,1.0,67.723,67.578,,,,,
1789036984.0955,collate,3,1,22075,,,,,5.0,1.0,61.786,61.696,,,,,
1789036986.24,collate,3,1,22075,,,,,5.0,1.0,63.014,62.839,,,,,
